20.1.1.54. A teljes munkaidõben alkalmazásban állók havi bruttó átlagkeresete nemzetgazdasági áganként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Nemzetgazdasági ágak együtt A–S;Ebbõl: mezõgazdaság, erdõgazdaság, halászat A;Ebbõl: bányászat, kõfejtés B;Ebbõl: feldolgozóipar C;Ebbõl: villamosenergia-, gáz-, gõzellátás, légkondicionálás D;Ebbõl: vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ebbõl: ipar B+C+D+E;Ebbõl: építõipar F;Ebbõl: kereskedelem, gépjármûjavítás G;Ebbõl: szállítás, raktározás H;Ebbõl: szálláshely-szolgáltatás, vendéglátás I;Ebbõl: információ, kommunikáció J;Ebbõl: pénzügyi, biztosítási tevékenység K;Ebbõl: ingatlanügyletek L;Ebbõl: szakmai, tudományos, mûszaki tevékenység M;Ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB;Ebbõl: mûvészet, szórakoztatás, szabadidõ szociális ellátás R;Ebbõl: egyéb szolgáltatás szociális ellátás S;Nemzetgazdasági ágak együtt közfoglalkoztatottak nélkül A–S;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB
2019;367 833;293 207;433 732;391 907;603 003;343 570;396 079;287 851;342 830;345 091;239 585;623 527;665 380;312 371;507 670;306 208;442 437;334 862;247 211;357 608;175 065;366 803;305 759;378 106;454 891;335 657;314 746;358 047;259 458
2020;403 616;320 186;426 863;424 297;651 764;364 759;428 230;320 692;378 735;379 890;250 850;676 573;709 341;339 113;566 602;330 071;467 331;362 838;296 212;442 308;196 594;394 493;312 727;414 494;478 969;363 494;377 720;442 751;295 480
2021;438 814;345 039;475 662;458 954;681 714;394 644;462 738;349 636;408 138;395 854;267 456;730 627;758 709;382 917;619 368;355 467;493 255;399 983;353 208;551 742;211 415;448 830;328 715;449 626;504 661;400 634;449 772;552 301;316 573
Az elõzõ év = 100,0% ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;100,6;102,6;108,2;104,0;107,3;102,1;104,4;103,9;102,0;105,4;101,6;102,4;99,1;104,7;104,2;101,4;87,7;95,3;94,9;95,2;94,5;97,5;101,5;..;..;..;..;..;..
2010;101,3;104,9;96,0;105,4;105,5;106,5;105,3;100,6;106,1;101,9;100,1;100,4;101,4;102,9;101,5;97,6;103,5;100,5;88,2;99,8;79,1;100,4;93,5;..;..;..;..;..;..
2011;105,2;106,6;108,7;106,3;104,3;107,2;106,1;102,3;106,0;105,0;102,5;106,8;105,4;101,1;102,0;102,8;104,1;98,5;108,1;100,5;110,9;106,9;108,3;..;..;..;..;..;..
2012;104,7;107,1;106,4;108,3;106,4;107,5;108,0;104,4;107,9;103,6;111,1;104,3;100,6;118,6;109,1;109,1;97,7;102,3;98,4;111,1;89,4;109,1;108,2;..;..;..;..;..;..
2013;103,4;104,6;103,7;104,7;101,6;100,6;104,2;108,6;102,3;102,6;105,0;104,1;102,4;95,7;97,6;103,9;104,7;109,9;99,9;107,9;97,5;103,4;99,6;..;..;..;..;..;..
2014;103,0;105,0;102,1;104,7;102,9;99,9;104,3;104,5;102,9;103,0;104,2;105,3;103,3;102,1;106,9;106,9;101,3;113,4;94,6;101,7;97,5;104,3;103,6;104,9;103,2;113,5;102,1;101,8;105,5
2015;104,3;104,9;100,9;104,2;104,0;102,7;104,0;106,1;102,7;103,9;103,1;102,4;101,6;103,3;107,0;109,2;107,7;105,0;102,6;102,1;104,2;94,2;106,4;104,5;107,7;105,2;103,8;102,1;107,3
2016;106,1;108,1;103,3;105,9;103,4;101,5;105,4;102,1;105,9;103,5;105,3;104,2;105,1;108,2;106,2;108,7;110,9;106,2;105,3;111,0;101,7;106,7;107,2;106,5;109,8;106,1;110,6;111,1;109,0
2017;112,9;112,8;111,2;111,6;109,7;115,0;111,7;113,1;112,3;112,9;114,2;106,5;108,2;117,6;110,1;114,3;114,5;108,5;119,8;116,5;119,3;127,1;117,7;111,7;113,8;108,6;117,0;116,5;119,7
2018;111,3;111,5;113,0;110,7;109,7;111,7;110,6;112,9;111,8;111,2;112,6;109,5;108,3;115,7;107,9;114,0;109,5;107,8;117,7;116,0;113,5;115,4;112,9;110,2;107,5;107,7;113,3;115,9;109,5
2019;111,4;114,1;112,2;112,9;108,5;112,1;112,6;113,0;112,8;109,9;111,7;110,6;107,5;106,8;112,8;111,6;112,6;104,3;112,4;107,8;113,8;111,9;113,8;110,6;111,6;104,2;107,9;107,7;108,4
2020;109,7;109,2;98,4;108,3;108,1;106,2;108,1;111,4;110,5;110,1;104,7;108,5;106,6;108,6;111,6;107,8;105,6;108,4;119,8;123,7;112,3;107,5;102,3;109,6;105,3;108,3;120,0;123,7;113,9
2021;108,7;107,8;111,4;108,2;104,6;108,2;108,1;109,0;107,8;104,2;106,6;108,0;107,0;112,9;109,3;107,7;105,5;110,2;119,2;124,7;107,5;113,8;105,1;108,5;105,4;110,2;119,1;124,7;107,1
