8.1.2.9. Magyarország 50 legnépesebb települése, 2022. január 1.;;
Település;A település megyéje;Lakónépesség száma
Budapest;–; 1 706 851    
Debrecen;Hajdú-Bihar; 199 725    
Szeged;Csongrád-Csanád; 157 372    
Miskolc;Borsod-Abaúj-Zemplén; 147 480    
Pécs;Baranya; 138 420    
Gyõr;Gyõr-Moson-Sopron; 132 111    
Nyíregyháza;Szabolcs-Szatmár-Bereg; 115 521    
Kecskemét;Bács-Kiskun; 108 817    
Székesfehérvár;Fejér; 94 893    
Szombathely;Vas; 77 970    
Érd;Pest; 71 641    
Szolnok;Jász-Nagykun-Szolnok; 68 774    
Tatabánya;Komárom-Esztergom; 64 305    
Sopron;Gyõr-Moson-Sopron; 62 116    
Kaposvár;Somogy; 58 633    
Békéscsaba;Békés; 57 299    
Veszprém;Veszprém; 57 145    
Zalaegerszeg;Zala; 55 037    
Eger;Heves; 50 032    
Nagykanizsa;Zala; 44 550    
Dunakeszi;Pest; 43 907    
Hódmezõvásárhely;Csongrád-Csanád; 42 207    
Dunaújváros;Fejér; 41 103    
Szigetszentmiklós;Pest; 40 750    
Cegléd;Pest; 35 088    
Mosonmagyaróvár;Gyõr-Moson-Sopron; 34 372    
Baja;Bács-Kiskun; 33 364    
Vác;Pest; 32 977    
Gödöllõ;Pest; 31 494    
Salgótarján;Nógrád; 31 484    
Ózd;Borsod-Abaúj-Zemplén; 30 639    
Szekszárd;Tolna; 30 401    
Hajdúböszörmény;Hajdú-Bihar; 29 728    
Pápa;Veszprém; 28 917    
Budaörs;Pest; 28 864    
Kiskunfélegyháza;Bács-Kiskun; 28 615    
Gyula;Békés; 28 409    
Esztergom;Komárom-Esztergom; 27 897    
Szentendre;Pest; 27 641    
Gyöngyös;Heves; 27 576    
Ajka;Veszprém; 26 720    
Jászberény;Jász-Nagykun-Szolnok; 26 516    
Siófok;Somogy; 26 329    
Orosháza;Békés; 26 157    
Kiskunhalas;Bács-Kiskun; 26 129    
Szentes;Csongrád-Csanád; 25 808    
Gyál;Pest; 24 370    
Kazincbarcika;Borsod-Abaúj-Zemplén; 24 186    
Hajdúszoboszló;Hajdú-Bihar; 24 094    
Dunaharaszti;Pest; 23 688    
