20.1.1.2. A 15–74 éves népesség gazdasági aktivitása, nemenként;;;;;;;;;
Év;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
2009;3 894,5;417,4;4 311,9;3 364,3;7 676,2;674,4;56,2;9,7;50,7
2010;3 873,8;469,1;4 342,9;3 319,8;7 662,7;738,2;56,7;10,8;50,6
2011;3 903,0;465,4;4 368,4;3 280,9;7 649,3;763,4;57,1;10,7;51,0
2012;3 958,7;472,8;4 431,5;3 204,3;7 635,8;790,3;58,0;10,7;51,8
2013;4 029,3;440,2;4 469,5;3 140,2;7 609,7;765,2;58,7;9,8;52,9
2014;4 222,6;342,9;4 565,5;3 007,8;7 573,2;621,2;60,3;7,5;55,8
2015;4 335,1;307,7;4 642,8;2 895,2;7 537,9;533,8;61,6;6,6;57,5
2016;4 482,2;234,5;4 716,7;2 790,9;7 507,5;419,0;62,8;5,0;59,7
2017;4 548,4;191,6;4 739,9;2 720,4;7 460,4;357,4;63,5;4,0;61,0
2018;4 606,4;171,8;4 778,2;2 654,0;7 432,2;315,4;64,3;3,6;62,0
2019;4 644,6;158,9;4 803,5;2 615,6;7 419,0;298,9;64,7;3,3;62,6
2020;4 603,2;197,6;4 800,8;2 607,9;7 408,7;379,8;64,8;4,1;62,1
2021;4 634,6;195,7;4 830,2;2 528,9;7 359,1;356,3;65,6;4,1;63,0
Férfi;;;;;;;;;
2009;2 026,0;231,8;2 257,8;1 418,9;3 676,7;359,0;61,4;10,3;55,1
2010;1 993,9;261,7;2 255,7;1 418,2;3 673,9;392,9;61,4;11,6;54,3
2011;2 022,7;251,5;2 274,1;1 397,7;3 671,9;399,5;61,9;11,1;55,1
2012;2 049,4;262,1;2 311,5;1 364,8;3 676,3;411,8;62,9;11,3;55,7
2013;2 104,6;239,3;2 343,9;1 323,8;3 667,7;395,5;63,9;10,2;57,4
2014;2 220,9;181,7;2 402,6;1 251,2;3 653,8;317,0;65,8;7,6;60,8
2015;2 284,1;161,9;2 446,0;1 195,3;3 641,3;272,7;67,2;6,6;62,7
2016;2 362,7;127,5;2 490,2;1 141,8;3 632,0;215,1;68,6;5,1;65,1
2017;2 417,4;95,7;2 513,2;1 099,4;3 612,5;172,1;69,6;3,8;66,9
2018;2 446,2;88,1;2 534,4;1 070,4;3 604,8;153,8;70,3;3,5;67,9
2019;2 480,1;86,1;2 566,2;1 040,3;3 606,4;150,8;71,2;3,4;68,8
2020;2 462,1;104,2;2 566,3;1 042,1;3 608,4;185,9;71,1;4,1;68,2
2021;2 471,8;99,9;2 571,7;1 012,0;3 583,7;173,2;71,8;3,9;69,0
Nõ;;;;;;;;;
2009;1 868,5;185,6;2 054,1;1 945,5;3 999,5;315,4;51,4;9,0;46,7
2010;1 879,9;207,4;2 087,2;1 901,6;3 988,8;345,3;52,3;9,9;47,1
2011;1 880,3;214,0;2 094,3;1 883,2;3 977,4;363,9;52,7;10,2;47,3
2012;1 909,3;210,7;2 120,0;1 839,5;3 959,5;378,5;53,5;9,9;48,2
2013;1 924,7;201,0;2 125,6;1 816,4;3 942,0;369,8;53,9;9,5;48,8
2014;2 001,7;161,1;2 162,8;1 756,6;3 919,4;304,2;55,2;7,5;51,1
2015;2 051,0;145,7;2 196,8;1 699,9;3 896,7;261,1;56,4;6,6;52,6
2016;2 119,5;107,0;2 226,5;1 649,1;3 875,6;203,8;57,4;4,8;54,7
2017;2 130,9;95,8;2 226,8;1 621,0;3 847,8;185,2;57,9;4,3;55,4
2018;2 160,2;83,7;2 243,9;1 583,5;3 827,4;161,6;58,6;3,7;56,4
2019;2 164,5;72,8;2 237,3;1 575,3;3 812,6;148,1;58,7;3,3;56,8
2020;2 141,2;93,4;2 234,5;1 565,8;3 800,3;193,9;58,8;4,2;56,3
2021;2 162,8;95,8;2 258,6;1 516,8;3 775,4;183,0;59,8;4,2;57,3
