20.2.1.37. A gazdaságilag nem aktívak száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
2009.;I.;178,5;1 542,2;503,0;476,2;442,3;153,8;104,7;3 400,7
;II.;178,8;1 522,8;503,4;462,3;436,7;159,0;104,2;3 367,3
;III.;168,7;1 485,0;503,8;460,4;455,2;160,8;110,1;3 344,0
;IV.;155,0;1 489,4;513,3;472,3;451,5;158,5;105,4;3 345,4
2010.;I.;151,8;1 491,1;527,4;467,7;452,6;153,9;107,8;3 352,2
;II.;151,3;1 471,3;521,6;460,8;454,5;155,2;108,2;3 322,9
;III.;137,4;1 440,0;514,8;467,7;464,1;162,4;108,7;3 295,2
;IV.;133,5;1 438,3;521,1;477,7;461,6;171,9;104,7;3 308,8
2011.;I.;134,9;1 457,8;533,9;468,3;463,2;167,6;104,4;3 330,1
;II.;135,7;1 443,8;531,2;454,4;461,3;163,4;101,9;3 291,6
;III.;129,7;1 401,2;532,6;451,9;457,4;165,5;110,7;3 248,8
;IV.;122,6;1 398,7;529,2;459,9;454,7;173,1;114,9;3 253,1
2012.;I.;121,5;1 389,2;544,9;457,0;462,4;178,8;113,2;3 267,1
;II.;123,8;1 368,3;539,8;433,0;461,0;172,5;116,8;3 215,2
;III.;110,9;1 327,3;530,5;440,2;460,4;180,8;109,9;3 159,8
;IV.;114,2;1 345,3;550,9;431,0;450,1;176,1;107,4;3 175,1
2013.;I.;118,8;1 355,3;571,1;428,8;451,3;187,6;108,8;3 221,6
;II.;115,2;1 303,8;550,7;438,0;444,3;187,2;106,1;3 145,3
;III.;106,0;1 251,1;553,0;459,3;428,6;192,7;104,0;3 094,7
;IV.;110,0;1 233,2;569,5;459,2;423,6;194,8;109,1;3 099,4
2014.;I.;106,9;1 214,4;568,8;440,4;421,5;192,0;115,7;3 059,7
;II.;105,6;1 181,4;559,1;441,9;423,0;197,0;114,3;3 022,3
;III.;94,4;1 137,4;537,1;463,4;415,8;201,3;117,6;2 967,1
;IV.;101,0;1 148,4;549,2;459,8;407,4;206,2;110,1;2 982,0
2015.;I.;105,4;1 145,2;550,0;454,7;404,6;198,4;106,4;2 964,7
;II.;105,2;1 108,1;540,8;452,1;392,0;199,4;107,5;2 905,2
;III.;89,9;1 063,6;535,9;475,3;385,4;195,1;108,5;2 853,6
;IV.;97,0;1 060,1;540,2;466,5;390,3;193,5;109,5;2 857,2
2016.;I.;102,8;1 081,5;553,3;449,7;384,9;184,7;95,6;2 852,5
;II.;93,1;1 055,6;546,3;442,4;381,8;179,8;98,4;2 797,3
;III.;81,3;1 017,4;545,1;445,7;383,9;181,3;105,2;2 759,8
;IV.;80,0;1 008,0;548,4;443,3;385,6;183,4;105,1;2 753,8
2017.;I.;88,6;999,3;567,8;444,2;385,7;191,8;102,1;2 779,4
;II.;94,3;975,4;561,9;421,8;380,9;192,5;101,0;2 727,8
