13.1.1.17. Az ipar belföldi értékesítésének volumenindexei rendeltetés szerinti ágazatcsoportonként [az elõzõ év = 100,0%];;;;;;;
Év;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;107,1;101,7;104,9;93,8;91,5;98,0;97,6
2002;105,6;98,8;102,9;102,5;122,3;103,3;104,2
2003;103,1;103,6;103,3;108,5;79,8;97,2;96,2
2004;101,2;101,1;101,2;96,7;99,1;93,7;94,0
2005;108,6;105,2;107,4;107,9;99,6;97,2;97,3
2006;102,5;102,6;102,5;117,9;128,4;99,2;100,7
2007;108,4;91,7;103,3;105,7;109,6;95,5;96,3
2008;100,7;96,9;99,7;104,7;108,2;92,4;93,4
2009;90,5;79,7;87,8;79,8;68,7;94,2;92,2
2010;93,9;103,6;96,0;95,7;139,1;95,9;98,4
2011;88,9;102,2;92,0;104,4;55,9;100,5;96,7
2012;93,7;95,6;94,2;105,8;92,0;99,9;99,5
2013;97,3;98,7;97,7;95,4;96,5;97,4;97,4
2014;95,9;105,9;98,9;104,7;107,1;105,5;105,6
2015;100,3;104,0;101,5;120,1;114,4;99,6;100,3
2016;96,7;102,5;98,8;102,9;102,0;100,9;101,0
2017;101,3;101,6;101,4;110,8;111,8;101,3;101,8
2018;99,7;114,6;105,3;108,2;111,9;105,6;106,0
2019;100,7;106,2;102,9;115,5;121,9;101,5;102,7
2020;103,6;92,0;98,4;85,2;97,5;97,0;97,0
2021;109,7;114,5;111,6;105,8;132,8;106,6;108,5
