14.1.2.7. A háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük, régió és településtípus szerint;;;;;;;;;;;;;;
Megnevezés;Ország összesen;Régiók szerint: Közép-Magyarország;Régiók szerint: Budapest;Régiók szerint: Pest;Régiók szerint: Közép-Dunántúl;Régiók szerint: Nyugat-Dunántúl;Régiók szerint: Dél-Dunántúl;Régiók szerint: Észak-Magyarország;Régiók szerint: Észak-Alföld;Régiók szerint: Dél-Alföld;Települések típusa szerint: fõváros;Települések típusa szerint: megyeszékhely, megyei jogú város;Települések típusa szerint: többi város;Települések típusa szerint: község
2010;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 004 823;1 243 291;786 357;…;440 855;378 299;367 188;459 896;569 561;545 733;786 357;855 180;1 180 255;1 183 031
Adatszolgáltató háztartások száma;9 936;2 519;1 739;…;988;940;919;1 478;1 377;1 715;1 739;2 547;2 702;2 948
Háztartások átlagos taglétszáma;2,4;2,3;2,1;…;2,4;2,6;2,5;2,6;2,6;2,4;2,1;2,2;2,6;2,7
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;
Alkalmazásban állók;3 288 448;1 054 931;610 828;…;392 866;358 116;278 676;351 309;446 531;406 019;610 828;656 924;1 032 922;987 774
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;406 715;132 349;87 678;…;41 967;50 347;30 494;34 759;45 413;71 386;87 678;90 948;106 587;121 502
Aktív keresõk összesen;3 695 163;1 187 280;698 506;…;434 833;408 463;309 170;386 068;491 944;477 405;698 506;747 872;1 139 509;1 109 276
Ebbõl:;;;;;;;;;;;;;;
férfiak;1 978 696;627 011;361 665;…;235 587;220 952;166 344;206 681;259 783;262 338;361 665;392 487;615 717;608 827
nõk;1 716 467;560 269;336 841;…;199 246;187 511;142 826;179 387;232 161;215 067;336 841;355 385;523 792;500 449
Nyugdíjasok összesen;2 243 611;670 382;421 879;…;244 806;228 172;225 007;271 728;302 919;300 597;421 879;491 774;640 503;689 455
Ebbõl: ;;;;;;;;;;;;;;
férfiak;856 003;246 079;149 250;…;98 454;89 163;88 706;99 447;118 512;115 642;149 250;184 104;243 449;279 200
nõk;1 387 608;424 303;272 629;…;146 352;139 009;136 301;172 281;184 407;184 955;272 629;307 670;397 054;410 255
Munkanélküliek összesen;650 176;144 355;89 367;…;63 137;46 862;71 826;110 421;135 477;78 098;89 367;105 998;196 988;257 823
Ebbõl:  ;;;;;;;;;;;;;;
férfiak;366 300;79 959;47 192;…;34 433;24 996;38 151;65 820;77 462;45 479;47 192;54 385;108 876;155 847
nõk;283 876;64 396;42 175;…;28 704;21 866;33 675;44 601;58 015;32 619;42 175;51 613;88 112;101 976
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;406 540;71 017;31 172;…;36 408;37 012;55 736;61 442;84 844;60 081;31 172;70 287;132 345;172 736
Tanuló felnõttek;37 161;13 730;11 871;…;1 635;4 555;4 838;2 046;5 689;4 668;11 871;12 012;7 260;6 018
Egyéb Inaktív felnõttek;561 269;146 366;82 519;…;54 028;50 359;52 276;76 884;102 599;78 757;82 519;89 919;173 937;214 894
Nem tanuló gyermekek;686 527;196 787;108 386;…;68 935;69 597;61 106;93 965;106 560;89 577;108 386;112 453;216 825;248 863
Tanulók, hallgatók;1 524 629;425 115;219 984;…;169 894;130 922;147 246;198 029;254 645;198 778;219 984;275 849;508 651;520 145
Összesen;9 805 076;2 855 032;1 663 684;…;1 073 676;975 942;927 205;1 200 583;1 484 677;1 287 961;1 663 684;1 906 164;3 016 018;3 219 210
2015;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 139 760;1 267 529;808 675;…;447 704;409 688;391 920;475 450;585 184;562 285;808 675;884 899;1 276 280;1 169 906
Adatszolgáltató háztartások száma;7 185;1 386;944;…;680;604;703;1 402;1 070;1 340;944;1 540;2 235;2 466
Háztartások átlagos taglétszáma;2,3;2,3;2,1;…;2,3;2,4;2,3;2,4;2,5;2,2;2,1;2,1;2,4;2,6
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;
Alkalmazásban állók;3 735 892;1 164 920;689 083;…;434 339;409 042;332 116;407 384;545 513;442 578;689 083;722 887;1 193 133;1 130 789
Egyéni és társas vállalkozók, segítõ családtagok, szövetkezeti tagok ;453 835;146 549;113 038;…;40 335;32 532;31 353;35 619;58 890;108 557;113 038;83 436;114 250;143 111
Aktív keresõk összesen;4 189 727;1 311 469;802 121;…;474 674;441 574;363 469;443 003;604 403;551 135;802 121;806 323;1 307 383;1 273 900
Ebbõl:;;;;;;;;;;;;;;
férfiak;2 267 829;710 290;434 840;…;265 317;244 528;189 809;235 533;326 852;295 500;434 840;420 381;694 993;717 615
