20.1.1.47. Fõbb kereseti adatok – a legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében;;;;;;;;;;;;;;;;
Év;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma elõzõ év azonos idõszaka = 100,0%
2009;199 836;100,5;149 460;103,3;124 115;101,7;2 382,5;94,5;..;..;..;..;..;..;..;..
2010;202 525;101,3;153 051;102,4;132 604;106,8;2 414,8;101,4;..;..;..;..;..;..;..;..
2011;213 094;105,2;158 767;103,7;141 151;106,4;2 372,8;98,3;..;..;..;..;..;..;..;..
2012;223 060;104,6;166 000;104,6;144 084;102,0;2 372,9;100,0;..;..;..;..;..;..;..;..
2013;230 713;103,4;172 269;103,8;151 117;104,8;2 397,9;101,1;238 214;..;179 575;..;156 031;..;2 286,5;..
2014;237 694;103,0;180 540;104,8;155 689;103,0;2 531,9;105,6;249 913;104,9;186 457;103,8;163 693;104,9;2 351,9;102,9
2015;247 924;104,3;184 306;102,1;162 391;104,3;2 604,7;102,9;261 247;104,5;196 904;105,6;171 118;104,5;2 413,5;102,6
2016;263 171;106,2;199 738;108,4;175 009;107,8;2 689,9;103,3;278 122;106,5;213 129;108,2;184 952;108,1;2 487,9;103,1
2017;297 017;112,9;230 600;115,5;197 516;112,9;2 727,4;101,4;310 799;111,7;241 742;113,4;206 681;111,7;2 563,3;103,0
2018;329 943;111,3;258 253;112,0;219 412;111,3;2 794,6;101,1;341 608;110,2;267 767;110,8;227 169;110,2;2 669,1;102,7
2019;367 833;111,4;292 320;113,2;244 609;111,4;2 852,7;100,4;378 106;110,6;300 000;112,4;251 440;110,6;2 751,9;101,5
2020;403 616;109,7;320 582;109,7;268 405;109,7;2 700,4;94,7;414 494;109,6;328 586;109,5;275 639;109,6;2 612,1;94,9
2021;438 814;108,7;350 000;109,2;291 812;108,7;2 832,4;104,9;449 626;108,5;356 000;108,3;299 001;108,5;2 748,6;105,2
