21.1.1.59. A nemzetgazdaság integrált számlái, 2003 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;11 532 525;11 532 525;;;;;;;;;;;;;;;;11 532 525;;11 532 525
P.71;Termékek importja;9 627 741;9 627 741;;;;;;;;;;;;;;;;9 627 741;;9 627 741
P.72;Szolgáltatások importja;1 904 784;1 904 784;;;;;;;;;;;;;;;;1 904 784;;1 904 784
P.6;Termékek és szolgáltatások exportja;10 778 680;;10 778 680;;;;;;;;;;;;;;;;10 778 680;10 778 680
P.61;Termékek exportja;8 673 639;;8 673 639;;;;;;;;;;;;;;;;8 673 639;8 673 639
P.62;Szolgáltatások exportja;2 105 041;;2 105 041;;;;;;;;;;;;;;;;2 105 041;2 105 041
P.1;Kibocsátás;37 776 377;37 776 377;;;;;;;;;;26 562 564;1 134 516;4 441 244;5 252 833;385 220;37 776 377;;;37 776 377
P.11;Piaci kibocsátás;31 145 031;31 145 031;;;;;;;;;;26 161 934;1 129 048;46 057;3 807 992;;31 145 031;;;31 145 031
P.12;Saját végsõ felhasználási célú kibocsátás;1 920 317;1 920 317;;;;;;;;;;400 630;5 468;66 126;1 444 841;3 252;1 920 317;;;1 920 317
