21.1.1.57. A nemzetgazdaság integrált számlái, 2001 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;10 188 973;10 188 973;;;;;;;;;;;;;;;;10 188 973;;10 188 973
P.71;Termékek importja;8 555 367;8 555 367;;;;;;;;;;;;;;;;8 555 367;;8 555 367
P.72;Szolgáltatások importja;1 633 606;1 633 606;;;;;;;;;;;;;;;;1 633 606;;1 633 606
P.6;Termékek és szolgáltatások exportja;9 990 264;;9 990 264;;;;;;;;;;;;;;;;9 990 264;9 990 264
P.61;Termékek exportja;7 526 443;;7 526 443;;;;;;;;;;;;;;;;7 526 443;7 526 443
P.62;Szolgáltatások exportja;2 463 821;;2 463 821;;;;;;;;;;;;;;;;2 463 821;2 463 821
P.1;Kibocsátás;31 659 408;31 659 408;;;;;;;;;;22 433 771;837 193;3 306 866;4 786 611;294 967;31 659 408;;;31 659 408
P.11;Piaci kibocsátás;26 526 915;26 526 915;;;;;;;;;;22 077 009;832 874;51 041;3 565 991;;26 526 915;;;26 526 915
P.12;Saját végsõ felhasználási célú kibocsátás;1 627 065;1 627 065;;;;;;;;;;356 762;4 319;43 343;1 220 620;2 021;1 627 065;;;1 627 065
P.13;Nem piaci kibocsátás;3 505 428;3 505 428;;;;;;;;;;;;3 212 482;;292 946;3 505 428;;;3 505 428
P.2;Folyó termelõfelhasználás;18 351 552;;;18 351 552;162 002;1 667 920;1 007 349;409 752;15 104 529;;;;;;;;;;18 351 552;18 351 552
D.21–D.31;Termékadók és -támogatások egyenlege;2 090 844;2 090 844;;;;;;;;;2 090 844;;;;;;2 090 844;;;2 090 844
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";15 398 700;;;15 398 700;132 965;3 118 691;2 299 517;427 441;7 329 242;2 090 844;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;2 795 265;;;2 795 265;39 806;490 651;616 112;76 333;1 572 363;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";12 603 435;;;12 603 435;93 159;2 628 040;1 683 405;351 108;5 756 879;2 090 844;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;198 709;;198 709;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;2 090 844;7 329 242;427 441;2 299 517;3 118 691;132 965;15 398 700;;;15 398 700
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;2 090 844;5 756 879;351 108;1 683 405;2 628 040;93 159;12 603 435;;;12 603 435
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;198 709;;198 709
D.1;Munkavállalói jövedelem;6 907 146;;;6 907 146;92 922;391 948;1 691 472;229 954;4 500 850;;;;;;;;;;;
D.11;Bérek és keresetek;5 265 612;;;5 265 612;72 771;351 188;1 216 994;170 271;3 454 388;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;1 641 534;;;1 641 534;20 151;40 760;474 478;59 683;1 046 462;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;2 107 111;;;2 107 111;237;11 724;0;5 231;-925;2 090 844;;;;;;;;;;
D.21;Termékadók ;2 278 619;;;2 278 619;;;;;;2 278 619;;;;;;;;;;
D.29;Egyéb termelési adók;88 257;;;88 257;275;12 840;0;5 231;69 911;;;;;;;;;;;
D.31;Terméktámogatások;187 775;;;187 775;;;;;;187 775;;;;;;;;;;
D.39;Egyéb termelési támogatások;71 990;;;71 990;38;1 116;0;0;70 836;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;4 456 538;;;4 456 538;39 806;787 114;608 045;192 256;2 829 317;0;;;;;;;;;;
