20.2.1.10. A 15–74 éves népesség gazdasági aktivitása nemenként, negyedévente;;;;;;;;;;
Év;Negyedév;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
2009.;I.;3 877,0;403,6;4 280,6;3 400,7;7 681,3;657,1;55,7;9,4;50,5
;II.;3 910,4;400,3;4 310,7;3 367,3;7 678,0;643,3;56,1;9,3;50,9
;III.;3 899,4;431,2;4 330,6;3 344,0;7 674,5;692,4;56,4;10,0;50,8
;IV.;3 891,1;434,7;4 325,7;3 345,4;7 671,1;704,6;56,4;10,0;50,7
2010.;I.;3 821,8;493,8;4 315,5;3 352,2;7 667,8;769,5;56,3;11,4;49,8
;II.;3 870,9;470,6;4 341,4;3 322,9;7 664,3;734,8;56,6;10,8;50,5
;III.;3 907,8;457,9;4 365,7;3 295,2;7 661,0;721,4;57,0;10,5;51,0
;IV.;3 894,7;454,1;4 348,8;3 308,8;7 657,6;727,1;56,8;10,4;50,9
2011.;I.;3 831,9;492,2;4 324,1;3 330,1;7 654,2;792,0;56,5;11,4;50,1
;II.;3 900,8;458,3;4 359,2;3 291,6;7 650,8;748,7;57,0;10,5;51,0
;III.;3 942,2;456,3;4 398,5;3 248,8;7 647,3;755,9;57,5;10,4;51,6
;IV.;3 936,9;455,0;4 391,9;3 253,1;7 644,9;757,1;57,4;10,4;51,5
2012.;I.;3 870,3;506,0;4 376,3;3 267,1;7 643,4;811,1;57,3;11,6;50,6
;II.;3 950,3;471,9;4 422,2;3 215,2;7 637,5;783,1;57,9;10,7;51,7
;III.;4 019,6;453,7;4 473,3;3 159,8;7 633,0;773,2;58,6;10,1;52,7
;IV.;3 994,7;459,5;4 454,1;3 175,1;7 629,2;793,6;58,4;10,3;52,4
2013.;I.;3 906,6;494,7;4 401,3;3 221,6;7 622,8;859,3;57,7;11,2;51,2
;II.;4 028,3;439,8;4 468,1;3 145,3;7 613,4;772,5;58,7;9,8;52,9
;III.;4 081,7;428,9;4 510,6;3 094,7;7 605,3;734,6;59,3;9,5;53,7
;IV.;4 100,5;397,4;4 497,9;3 099,4;7 597,3;694,4;59,2;8,8;54,0
2014.;I.;4 165,1;363,0;4 528,2;3 059,7;7 587,8;681,9;59,7;8,0;54,9
;II.;4 196,3;358,8;4 555,1;3 022,3;7 577,5;637,1;60,1;7,9;55,4
;III.;4 270,1;331,4;4 601,5;2 967,1;7 568,6;592,1;60,8;7,2;56,4
;IV.;4 258,8;318,3;4 577,1;2 982,0;7 559,1;573,7;60,6;7,0;56,3
2015.;I.;4 235,8;347,3;4 583,1;2 964,7;7 547,8;607,4;60,7;7,6;56,1
;II.;4 324,0;310,3;4 634,3;2 905,2;7 539,5;535,9;61,5;6,7;57,4
;III.;4 390,4;292,4;4 682,8;2 853,6;7 536,5;501,7;62,1;6,2;58,3
;IV.;4 390,2;280,6;4 670,8;2 857,2;7 527,9;490,0;62,0;6,0;58,3
2016.;I.;4 390,5;272,6;4 663,0;2 852,5;7 515,6;489,0;62,0;5,8;58,4
