21.1.1.28. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Helyi önkormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2;Termelési és importadók;;;55 906;95 953;128 155;165 566;222 209;248 695;298 986;332 805;382 086;442 623;475 937;531 142;584 894;643 184;644 382;607 244;626 514;642 767;639 612;662 900;732 523;765 315;803 303;879 147;959 503;886 090;921 424
D.21;Termékadók;;;48 572;80 682;109 233;143 252;193 955;213 172;258 123;288 103;321 911;367 251;391 239;440 900;477 917;527 500;523 844;477 083;487 041;481 751;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.211;Hozzáadottérték-adó típusú adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.211_01;Általános forgalmi adó (áfa);C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.212;Importadók és importvámok a hozzáadottérték-adók kivételével;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2121;Importvámok;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2121_01;Import vám;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122;Importadók a hozzáadottérték-adók és importvámok kivételével;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122A;Az importált mezõgazdasági termékek utáni importilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B;Az importra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C;Jövedéki adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C_01;Import termékekre kivetett fogyasztási adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C_02;Import termékek környezetvédelmi termékdíja;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
