13.2.2.3. A megyei székhelyû ipari termelés értéke és volumenindexe negyedévente;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. I.;2021. I–II.;2021. I–III.;2021. I–IV.;2022. I.;2022. I–II.;2022. I–III.;2022. I–IV.
Millió Ft;;;;;;;;;
Budapest;fõváros, régió;1 373 659;2 850 414;4 379 732;6 173 979;1 854 274;4 293 564;6 933 446;
Pest;megye, régió;844 496;1 752 509;2 690 227;3 684 572;1 082 101;2 330 915;3 824 860;
Közép-Magyarország;nagyrégió;2 218 156;4 602 923;7 069 959;9 858 551;2 936 375;6 624 479;10 758 306;
Fejér;megye;692 116;1 396 396;2 113 502;2 901 659;881 076;1 868 627;2 871 581;
Komárom-Esztergom;megye;701 456;1 354 307;1 978 195;2 659 527;765 842;1 712 843;2 747 110;
Veszprém;megye;379 342;733 530;1 066 607;1 470 958;459 206;923 395;1 441 883;
Közép-Dunántúl;régió;1 772 914;3 484 233;5 158 304;7 032 143;2 106 124;4 504 865;7 060 573;
Gyõr-Moson-Sopron;megye;1 222 944;2 467 114;3 424 564;4 537 772;1 207 297;2 636 440;4 040 458;
Vas;megye;257 638;519 381;768 099;1 025 997;299 191;642 031;981 051;
Zala;megye;61 201;123 722;184 431;252 627;64 154;138 248;214 617;
Nyugat-Dunántúl;régió;1 541 782;3 110 217;4 377 095;5 816 396;1 570 642;3 416 719;5 236 126;
Baranya;megye;104 686;210 075;328 063;442 406;126 341;270 420;432 183;
Somogy;megye;294 285;555 299;786 293;988 694;219 373;449 108;708 009;
Tolna;megye;114 864;230 336;342 053;455 940;125 207;259 987;397 663;
Dél-Dunántúl;régió;513 835;995 709;1 456 409;1 887 041;470 921;979 516;1 537 855;
Dunántúl;nagyrégió;3 828 531;7 590 159;10 991 808;14 735 580;4 147 687;8 901 100;13 834 553;
Borsod-Abaúj-Zemplén;megye;847 531;1 752 019;2 554 399;3 480 648;1 106 954;2 311 463;3 443 481;
Heves;megye;430 958;828 482;1 194 234;1 590 821;483 138;994 574;1 556 450;
Nógrád;megye;59 568;119 694;168 929;226 429;68 994;147 883;226 778;
Észak-Magyarország;régió;1 338 057;2 700 195;3 917 562;5 297 898;1 659 086;3 453 919;5 226 708;
Hajdú-Bihar;megye;221 148;442 725;665 635;916 216;266 922;553 603;868 067;
Jász-Nagykun-Szolnok;megye;478 836;941 279;1 421 646;2 050 974;655 430;1 194 373;1 732 262;
Szabolcs-Szatmár-Bereg;megye;186 833;384 136;625 945;874 530;240 404;520 228;841 876;
Észak-Alföld;régió;886 818;1 768 141;2 713 225;3 841 720;1 162 755;2 268 203;3 442 205;
Bács-Kiskun;megye;532 105;1 112 771;1 645 653;2 238 225;651 797;1 308 932;2 115 369;
Békés;megye;90 261;187 111;291 621;402 709;114 519;251 040;395 597;
Csongrád-Csanád;megye;150 206;295 525;442 719;605 939;175 993;372 903;571 867;
Dél-Alföld;régió;772 573;1 595 406;2 379 993;3 246 873;942 309;1 932 875;3 082 833;
Alföld és Észak;nagyrégió;2 997 447;6 063 742;9 010 780;12 386 491;3 764 151;7 654 998;11 751 747;
Ország összesen;ország;9 044 134;18 256 824;27 072 547;36 980 623;10 848 213;23 180 576;36 344 606;
Volumenindex, elõzõ év azonos idõszaka = 100,0%;;;;;;;;;
Budapest;fõváros, régió;105,8;113,4;112,1;121,3;114,0;108,7;107,1;
Pest;megye, régió;109,8;126,1;123,4;117,9;115,3;115,4;118,9;
Közép-Magyarország;nagyrégió;107,3;117,9;116,2;120,0;114,5;111,0;111,0;
Fejér;megye;99,5;114,6;108,3;105,0;103,3;104,5;104,5;
Komárom-Esztergom;megye;96,5;110,2;104,7;101,7;98,4;108,7;115,6;
Veszprém;megye;113,3;131,8;120,6;116,6;96,6;98,0;102,9;
Közép-Dunántúl;régió;100,9;116,0;109,1;105,9;100,0;104,6;108,2;
Gyõr-Moson-Sopron;megye;103,4;131,9;114,4;106,4;93,5;97,0;104,0;
Vas;megye;84,1;101,3;95,3;90,8;102,2;104,5;105,4;
Zala;megye;98,0;106,3;104,2;102,9;88,4;90,4;92,0;
Nyugat-Dunántúl;régió;99,3;124,5;110,0;103,2;94,8;98,0;103,7;
Baranya;megye;97,1;105,1;106,2;105,7;105,8;109,4;108,4;
Somogy;megye;108,7;107,2;102,4;93,1;68,5;71,4;77,2;
Tolna;megye;102,2;109,7;106,2;102,2;88,0;88,7;88,3;
Dél-Dunántúl;régió;104,7;107,3;104,1;97,9;81,0;83,8;87,1;
Dunántúl;nagyrégió;100,8;118,0;108,8;103,7;95,5;99,3;103,7;
Borsod-Abaúj-Zemplén;megye;114,7;128,6;121,4;112,8;104,2;102,6;103,8;
Heves;megye;108,9;135,7;118,3;109,9;102,4;105,6;110,9;
Nógrád;megye;115,0;140,7;126,0;116,2;102,8;106,1;112,9;
Észak-Magyarország;régió;112,7;131,2;120,6;112,1;103,6;103,6;106,2;
Hajdú-Bihar;megye;102,6;106,0;106,4;106,7;107,4;107,4;108,0;
Jász-Nagykun-Szolnok;megye;114,0;119,6;110,0;113,1;121,9;110,6;104,4;
Szabolcs-Szatmár-Bereg;megye;105,6;114,9;114,1;114,3;109,9;110,6;107,1;
Észak-Alföld;régió;109,2;114,9;110,0;111,8;115,7;109,8;105,9;
Bács-Kiskun;megye;86,9;110,1;100,6;97,6;113,4;103,9;109,5;
Békés;megye;97,4;114,3;114,4;114,3;107,1;107,5;104,6;
Csongrád-Csanád;megye;98,9;103,6;102,2;101,8;103,5;107,4;105,5;
Dél-Alföld;régió;90,1;109,3;102,4;100,2;110,6;105,0;108,1;
Alföld és Észak;nagyrégió;104,9;119,9;112,1;108,6;108,9;105,7;106,6;
Ország összesen;ország;103,7;118,6;111,8;109,3;104,6;104,6;106,7;
