21.1.1.32. A háztartási szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Jövedelmek keletkezése ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.1 n;Hozzáadott érték, nettó;1 154 116;1 441 499;1 673 900;1 837 671;2 060 722;2 257 282;2 628 040;2 787 850;2 856 337;3 022 102;3 226 190;3 239 628;3 267 461;3 426 444;3 184 822;3 337 368;3 468 264;3 353 497;3 460 682;3 762 119;4 018 336;4 404 769;4 801 408;5 462 720;6 344 815;6 290 167;7 381 854
D.1;Munkavállalói jövedelem;129 393;185 366;262 335;296 617;303 020;337 167;391 948;420 877;421 184;458 130;506 275;528 734;486 157;424 589;420 325;409 915;432 107;461 128;506 309;573 444;593 774;596 998;639 148;597 008;650 066;632 825;586 658
D.11;Bérek és keresetek;111 159;162 433;235 869;269 970;276 259;308 557;351 188;377 748;382 599;416 279;460 082;480 496;440 167;383 016;381 096;372 212;392 666;416 551;456 487;516 277;534 856;538 094;580 760;547 344;600 598;589 932;543 427
D.12;Munkaadók társadalombiztosítási hozzájárulásai;18 234;22 933;26 466;26 647;26 761;28 610;40 760;43 129;38 585;41 851;46 193;48 238;45 990;41 573;39 229;37 703;39 441;44 577;49 822;57 167;58 918;58 904;58 388;49 664;49 468;42 893;43 231
;Ebbõl: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.121;tényleges;18 234;22 933;26 466;26 647;26 761;28 610;40 760;43 129;38 585;41 851;46 193;48 238;45 990;41 573;39 229;37 703;39 441;44 577;49 822;57 167;58 918;58 904;58 388;49 664;49 468;42 893;43 231
D.122;imputált;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.39–D.29;Egyéb termelési támogatások és adók egyenlege;-1 218;-3 826;-4 570;-5 222;-8 279;-11 233;-11 724;-4 641;-5 212;31 778;55 633;82 389;99 342;116 341;128 510;129 360;173 583;176 519;186 982;196 944;196 940;157 178;158 042;118 083;90 457;128 275;81 459
B.2 n;Mûködési eredmény, nettó;172 392;223 875;277 614;312 728;369 102;421 015;466 734;496 979;533 659;570 593;607 229;663 400;715 877;768 204;799 680;980 453;967 115;926 018;891 368;923 209;1 042 780;1 191 698;1 358 664;1 605 660;1 963 105;2 092 838;2 458 764
