20.2.1.42. A foglalkoztatottak számának szezonálisan kiigazított idõsorai nemek szerint, negyedévente;;;;;;;;;
Év;Negyedév;Eredeti idõsor, férfi, ezer fõ;Eredeti idõsor, férfi, elõzõ negyedév = 100,0%;Eredeti idõsor, nõ, ezer fõ;Eredeti idõsor, nõ, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, férfi, ezer fõ;Szezonálisan kiigazított idõsor, férfi, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, nõ, ezer fõ;Szezonálisan kiigazított idõsor, nõ, elõzõ negyedév = 100,0%
2009.;I.;2 014,5;...;1 862,6;...;2 049,6;…;1 875,7;…
;II.;2 040,4;101,3;1 870,0;100,4;2 034,8;99,3;1 869,7;99,7
;III.;2 029,0;99,4;1 870,5;100,0;2 012,0;98,9;1 862,0;99,6
;IV.;2 020,2;99,6;1 870,8;100,0;2 005,4;99,7;1 866,6;100,3
2010.;I.;1 953,8;96,7;1 867,9;99,8;1 991,5;99,3;1 881,1;100,8
;II.;1 990,6;101,9;1 880,2;100,7;1 987,3;99,8;1 879,9;99,9
;III.;2 020,6;101,5;1 887,2;100,4;1 997,6;100,5;1 878,5;99,9
;IV.;2 010,7;99,5;1 884,1;99,8;1 998,1;100,0;1 879,8;100,1
2011.;I.;1 970,1;98,0;1 861,8;98,8;2 008,6;100,5;1 875,0;99,7
;II.;2 023,8;102,7;1 877,0;100,8;2 021,0;100,6;1 876,6;100,1
;III.;2 053,3;101,5;1 888,9;100,6;2 026,9;100,3;1 880,3;100,2
;IV.;2 043,4;99,5;1 893,5;100,2;2 032,4;100,3;1 889,2;100,5
2012.;I.;1 999,6;97,9;1 870,7;98,8;2 035,8;100,2;1 884,0;99,7
;II.;2 043,0;102,2;1 907,2;102,0;2 042,1;100,3;1 906,9;101,2
;III.;2 078,2;101,7;1 941,4;101,8;2 054,3;100,6;1 932,5;101,3
;IV.;2 076,9;99,9;1 917,8;98,8;2 067,3;100,6;1 913,5;99,0
2013.;I.;2 013,8;97,0;1 892,8;98,7;2 044,9;98,9;1 906,2;99,6
;II.;2 107,0;104,6;1 921,3;101,5;2 107,5;103,1;1 920,9;100,8
;III.;2 144,6;101,8;1 937,1;100,8;2 120,5;100,6;1 928,3;100,4
;IV.;2 153,0;100,4;1 947,5;100,5;2 144,9;101,1;1 943,1;100,8
2014.;I.;2 185,2;101,5;1 980,0;101,7;2 215,3;103,3;1 993,9;102,6
;II.;2 207,8;101,0;1 988,6;100,4;2 209,0;99,7;1 988,2;99,7
;III.;2 252,6;102,0;2 017,6;101,5;2 227,1;100,8;2 008,4;101,0
;IV.;2 238,1;99,4;2 020,7;100,2;2 233,5;100,3;2 016,2;100,4
2015.;I.;2 220,9;99,2;2 014,9;99,7;2 249,4;100,7;2 029,1;100,6
;II.;2 278,0;102,6;2 046,0;101,5;2 276,4;101,2;2 045,6;100,8
;III.;2 319,3;101,8;2 071,1;101,2;2 296,6;100,9;2 061,7;100,8
;IV.;2 318,0;99,9;2 072,2;100,1;2 314,6;100,8;2 067,6;100,3
2016.;I.;2 314,2;99,8;2 076,3;100,2;2 339,1;101,1;2 090,8;101,1
;II.;2 359,1;101,9;2 117,3;102,0;2 355,4;100,7;2 116,9;101,2
;III.;2 384,2;101,1;2 136,8;100,9;2 368,1;100,5;2 127,2;100,5
;IV.;2 393,1;100,4;2 147,8;100,5;2 389,2;100,9;2 143,0;100,7
2017.;I.;2 378,0;99,4;2 120,0;98,7;2 397,7;100,4;2 134,8;99,6
;II.;2 417,6;101,7;2 123,4;100,2;2 415,2;100,7;2 122,9;99,4
;III.;2 437,2;100,8;2 138,0;100,7;2 425,3;100,4;2 128,4;100,3
;IV.;2 437,0;100,0;2 142,4;100,2;2 433,6;100,3;2 137,6;100,4
2018.;I.;2 427,2;99,6;2 143,4;100,0;2 438,4;100,2;2 158,3;101,0
;II.;2 443,1;100,7;2 163,8;101,0;2 444,2;100,2;2 163,4;100,2
;III.;2 458,1;100,6;2 169,4;100,3;2 450,4;100,3;2 159,7;99,8
;IV.;2 456,6;99,9;2 164,0;99,8;2 454,5;100,2;2 159,2;100,0
2019.;I.;2 472,8;100,7;2 158,2;99,7;2 479,2;101,0;2 173,3;100,7
;II.;2 472,4;100,0;2 170,7;100,6;2 475,6;99,9;2 170,2;99,9
;III.;2 487,4;100,6;2 166,8;99,8;2 478,8;100,1;2 157,1;99,4
;IV.;2 487,7;100,0;2 162,3;99,8;2 480,7;100,1;2 157,5;100,0
2020.;I.;2 457,6;98,8;2 149,2;99,4;2 468,0;99,5;2 164,2;100,3
;II.;2 432,9;99,0;2 123,4;98,8;2 439,2;98,8;2 122,9;98,1
;III.;2 477,6;101,8;2 149,6;101,2;2 469,4;101,2;2 140,0;100,8
;IV.;2 480,1;100,1;2 142,5;99,7;2 469,4;100,0;2 137,8;99,9
2021.;I.;2 456,1;99,0;2 111,5;98,6;2 466,6;99,9;2 126,2;99,5
;II.;2 463,8;100,3;2 155,5;102,1;2 469,4;100,1;2 155,0;101,4
;III.;2 479,1;100,6;2 184,3;101,3;2 473,7;100,2;2 174,6;100,9
;IV.;2 488,2;100,4;2 199,7;100,7;2 479,4;100,2;2 194,9;100,9
2022.;I.;2 481,9;99,7;2 192,4;99,7;2 489,6;100,4;2 207,7;100,6
;II.;2 491,6;100,4;2 201,6;100,4;2 494,9;100,2;2 201,1;99,7
;III.;2 503,2;100,5;2 209,0;100,3;2 498,9;100,2;2 199,1;99,9
;IV.;;;;;;;;
