20.2.1.35. A gazdaságilag aktívak száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
2009.;I.;15,6;554,7;1 280,7;388,5;1 060,9;605,1;375,2;4 280,6
;II.;19,8;558,8;1 297,0;398,4;1 054,5;605,2;377,0;4 310,7
;III.;17,8;571,4;1 297,5;400,4;1 048,9;609,5;385,2;4 330,6
;IV.;18,8;565,1;1 308,4;402,2;1 046,4;606,0;378,8;4 325,7
2010.;I.;20,0;554,3;1 284,4;399,7;1 073,9;594,0;389,2;4 315,5
;II.;23,5;556,9;1 309,8;390,9;1 071,3;589,6;399,5;4 341,4
;III.;26,4;558,6;1 307,0;392,6;1 080,9;601,0;399,3;4 365,7
;IV.;25,1;558,1;1 284,0;385,0;1 076,9;617,1;402,5;4 348,8
2011.;I.;21,4;538,6;1 265,1;388,9;1 065,0;632,8;412,3;4 324,1
;II.;22,3;555,8;1 287,4;394,0;1 050,0;626,3;423,3;4 359,2
;III.;22,9;562,7;1 288,4;404,9;1 045,1;642,8;431,8;4 398,5
;IV.;19,9;546,1;1 273,6;406,8;1 061,7;654,3;429,6;4 391,9
2012.;I.;19,4;526,8;1 264,7;401,4;1 063,1;663,6;437,3;4 376,3
;II.;22,5;541,5;1 272,7;406,5;1 070,9;675,4;432,7;4 422,2
;III.;21,1;551,1;1 275,8;415,2;1 080,1;692,1;437,8;4 473,3
;IV.;21,7;527,3;1 281,0;410,7;1 068,2;701,0;444,4;4 454,1
2013.;I.;21,4;498,7;1 272,3;411,0;1 049,5;701,7;446,7;4 401,3
;II.;24,0;520,0;1 294,5;430,7;1 049,7;696,5;452,9;4 468,1
;III.;20,3;536,7;1 313,3;442,8;1 057,6;685,8;454,1;4 510,6
;IV.;20,9;536,7;1 307,3;436,7;1 054,6;678,5;463,2;4 497,9
2014.;I.;20,2;538,2;1 297,1;444,0;1 067,0;694,4;467,2;4 528,2
;II.;22,4;550,4;1 295,1;458,0;1 059,3;701,5;468,3;4 555,1
;III.;25,2;552,8;1 273,0;475,1;1 081,0;710,7;483,6;4 601,5
;IV.;22,6;556,2;1 265,9;481,7;1 046,6;712,0;492,1;4 577,1
2015.;I.;27,8;556,6;1 264,0;485,1;1 041,8;720,4;487,3;4 583,1
;II.;28,6;568,3;1 258,4;509,7;1 039,4;724,8;505,2;4 634,3
;III.;24,9;581,1;1 266,4;540,3;1 040,1;722,3;507,7;4 682,8
;IV.;27,9;577,8;1 273,4;550,6;1 027,5;715,6;498,0;4 670,8
2016.;I.;24,0;566,1;1 260,1;564,7;1 026,5;726,3;495,2;4 663,0
;II.;27,5;577,4;1 277,0;579,2;1 043,1;729,4;476,7;4 710,5
;III.;28,0;585,4;1 278,5;606,5;1 042,2;726,0;480,7;4 747,3
