20.1.2.10. A gazdaságilag nem aktív népesség száma, megye és régió szerint [ezer fõ];;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Budapest;fõváros, régió;502,6;500,4;489,2;471,3;475,7;473,5;459,0;421,1;421,7;425,5;419,6;399,3;381,9
Pest ;megye, régió;373,4;374,9;379,8;372,3;360,3;353,9;347,2;345,3;341,5;331,5;323,1;321,7;316,9
Közép-Magyarország;nagyrégió;875,9;875,3;869,0;843,6;836,0;827,4;806,2;766,3;763,2;757,0;742,7;721,0;698,8
Fejér;megye;138,7;139,9;133,5;131,6;127,2;122,5;115,9;118,0;112,8;110,3;107,0;109,5;109,8
Komárom-Esztergom;megye;98,0;95,8;92,7;94,2;94,0;91,7;84,7;84,8;80,3;78,0;81,9;82,1;72,4
Veszprém;megye;119,3;116,7;112,9;110,5;109,7;103,6;98,3;95,8;91,4;93,9;94,3;91,5;90,9
Közép-Dunántúl;régió;355,9;352,4;339,1;336,3;330,8;317,7;299,0;298,6;284,6;282,2;283,2;283,0;273,2
Gyõr-Moson-Sopron;megye;137,9;137,7;141,8;139,5;134,1;128,4;127,1;123,7;118,3;115,1;116,0;116,6;115,5
Vas;megye;83,5;83,2;81,3;78,3;78,1;73,7;70,7;71,4;70,0;64,8;63,3;66,4;65,6
Zala;megye;91,2;94,4;91,7;89,1;88,0;85,6;86,9;82,5;76,1;75,6;73,5;73,9;73,3
Nyugat-Dunántúl;régió;312,6;315,3;314,8;306,9;300,2;287,6;284,7;277,6;264,5;255,4;252,8;256,8;254,5
Baranya;megye;137,1;132,5;135,6;135,7;130,6;125,6;115,8;109,2;106,3;101,1;101,9;110,2;105,6
Somogy;megye;123,7;116,4;117,0;115,4;116,1;109,3;106,9;101,4;100,6;99,9;100,0;97,7;95,6
Tolna ;megye;85,0;84,5;83,9;83,0;80,8;73,3;70,7;73,9;71,9;69,3;65,5;63,2;62,3
Dél-Dunántúl;régió;345,7;333,3;336,5;334,0;327,4;308,2;293,4;284,5;278,8;270,3;267,5;271,1;263,5
Dunántúl;nagyrégió;1 014,3;1 001,1;990,4;977,2;958,4;913,5;877,1;860,7;827,9;807,8;803,5;810,9;791,1
Borsod-Abaúj-Zemplén;megye;259,4;256,0;250,7;249,6;245,8;229,5;214,8;206,9;199,9;194,8;189,4;190,0;184,9
Heves;megye;114,5;113,6;108,4;105,5;104,8;99,1;94,8;92,1;90,8;86,8;83,7;86,5;84,9
Nógrád ;megye;77,7;75,8;80,1;75,2;74,7;68,6;64,7;63,5;57,1;52,0;54,8;54,6;53,2
Észak-Magyarország;régió;451,6;445,5;439,2;430,3;425,4;397,2;374,3;362,5;347,9;333,6;327,8;331,0;323,0
Hajdú-Bihar;megye;210,4;200,9;192,3;190,7;179,2;168,3;161,3;156,1;153,7;146,7;146,8;143,0;139,6
Jász-Nagykun-Szolnok;megye;138,3;139,4;135,6;131,3;128,1;116,9;115,5;110,2;108,7;106,1;100,5;106,3;103,9
Szabolcs-Szatmár-Bereg;megye;209,1;203,7;203,9;193,0;188,1;178,3;173,5;167,2;159,7;152,7;152,8;154,0;148,4
Észak-Alföld;régió;557,9;544,0;531,8;515,0;495,4;463,4;450,3;433,5;422,1;405,5;400,0;403,4;391,9
Bács-Kiskun ;megye;184,0;183,6;180,8;174,8;169,4;161,4;153,5;146,6;143,6;140,8;136,0;136,0;129,6
Békés;megye;136,2;130,7;130,7;125,2;122,3;118,8;112,8;106,3;102,2;95,0;92,1;91,6;90,0
Csongrád-Csanád;megye;144,5;139,6;139,0;138,2;133,3;126,1;121,0;115,0;113,6;114,2;113,4;114,0;104,4
Dél-Alföld;régió;464,7;453,9;450,6;438,2;425,0;406,2;387,4;367,8;359,4;350,0;341,5;341,6;324,0
Alföld és Észak;nagyrégió;1 474,2;1 443,4;1 421,5;1 383,5;1 345,8;1 266,8;1 212,0;1 163,8;1 129,3;1 089,1;1 069,3;1 076,0;1 038,9
Ország összesen;ország;3 364,3;3 319,8;3 280,9;3 204,3;3 140,2;3 007,8;2 895,2;2 790,9;2 720,4;2 654,0;2 615,6;2 607,9;2 528,9
