23.1.1.12. Szakiskolai és készségfejlesztõ iskolai nevelés és oktatás;;;;;;;;;;;;;;
Tanév;Iskola – feladat-ellátási hely;Osztályterem;Pedagógus;Tanuló összesen;Tanuló, ebbõl: nappali oktatás;Nappali oktatásban tanulókból hátrányos helyzetû;Nappali oktatásban tanulókból 9. évfolyamos;Nappali oktatásban tanulókból nem szakképzõ évfolyamokon;Nappali oktatásban tanulókból szakképzõ évfolyamokon;Nappali oktatásban tanulókból leány;Nappali oktatásban tanulókból kollégiumban lakók aránya, %;Osztályok a nappali oktatásban;Egy osztályra jutó tanuló;Egy pedagógusra jutó tanuló
1990/1991;48;..;127;3 152;3 152;..;1 586;..;..;..;..;244;12,9;24,8
1991/1992;64;..;239;4 112;4 112;..;2 230;..;..;1 664;..;297;13,8;17,2
1992/1993;60;..;277;4 398;4 398;..;2 169;..;..;2 010;..;318;13,8;15,9
1993/1994;69;199;361;5 395;5 395;..;2 578;..;..;2 506;..;395;13,7;14,9
1994/1995;78;215;410;5 546;5 546;..;2 564;..;..;2 405;..;416;13,3;13,5
1995/1996;70;243;439;5 367;5 367;..;2 395;..;..;2 237;..;418;12,8;12,2
1996/1997;64;248;490;5 363;5 363;..;2 450;..;..;2 297;..;410;13,1;10,9
1997/1998;67;256;476;5 260;5 260;..;2 313;..;..;2 244;..;418;12,6;11,1
1998/1999;75;222;462;4 420;4 420;..;1 527;2 622;1 798;1 844;..;339;13,0;9,6
1999/2000;81;262;468;4 642;4 642;..;1 594;2 370;2 272;1 711;..;364;12,8;9,9
2000/2001;100;300;575;5 200;5 200;..;1 574;..;..;2 090;..;470;11,1;9,0
2001/2002;128;389;801;6 631;6 594;..;1 983;3 311;3 283;2 582;21,5;559;11,8;8,2
2002/2003;125;441;880;7 200;7 200;..;2 175;3 788;3 412;2 869;21,9;602;12,0;8,2
2003/2004;131;498;1 069;8 147;8 147;..;2 505;4 120;4 027;3 192;24,0;674;12,1;7,6
2004/2005;131;509;1 113;8 369;8 369;2 185;2 560;4 279;4 090;3 202;25,9;696;12,0;7,5
2005/2006;136;559;1 239;8 797;8 797;2 433;2 684;4 615;4 182;3 370;26,9;749;11,7;7,1
2006/2007;144;628;1 379;9 563;9 563;2 872;2 795;5 161;4 402;3 755;26,0;841;11,4;6,9
2007/2008;148;649;1 374;9 773;9 773;2 672;2 809;5 201;4 572;3 788;24,2;858;11,4;7,1
2008/2009;150;692;1 414;9 809;9 785;3 249;2 907;5 274;4 511;3 847;22,5;878;11,1;6,9
2009/2010;157;716;1 499;10 017;9 968;3 096;2 935;5 493;4 475;4 021;20,3;879;11,3;6,6
2010/2011;151;737;1 518;9 851;9 816;3 264;2 780;5 277;4 539;3 914;20,9;851;11,5;6,5
2011/2012;151;733;1 538;9 733;9 720;3 322;2 637;4 913;4 807;3 929;19,5;852;11,4;6,3
2012/2013;153;735;1 537;9 134;9 134;2 665;2 555;4 589;4 545;3 684;18,9;837;10,9;5,9
2013/2014;153;709;1 582;8 344;8 344;989;2 320;4 199;4 145;3 372;19,1;814;10,3;5,3
2014/2015;155;714;1 583;7 496;7 496;587;3 562;2 892;4 604;3 053;20,6;787;9,5;4,7
2015/2016;134;658;1 543;7 149;7 146;710;3 617;2 558;4 588;2 901;19,3;794;9,0;4,6
2016/2017;159;677;1 583;7 109;7 108;578;3 593;2 463;4 645;2 916;19,9;822;8,6;4,5
2017/2018;200;685;1 492;7 187;7 169;684;3 497;2 831;4 338;2 866;19,8;845;8,5;4,8
2018/2019;205;719;1 564;7 188;7 159;519;3 576;3 056;4 103;2 860;20,4;848;8,4;4,6
2019/2020;201;716;1 558;7 029;7 004;516;3 423;2 981;4 023;2 776;19,0;850;8,2;4,5
2020/2021;194;719;1 534;6 962;6 948;418;3 195;3 162;3 786;2 704;17,8;845;8,2;4,5
2021/2022;199;741;1 560;7 169;7 167;423;3 473;3 692;3 475;2 764;17,0;861;8,3;4,6
