5.1.1.8. Relatív szegénységi rés kor és nem szerint [%];;;;;;;;;;;;;;;;
Megnevezés;2006 referencia év;2007 referencia év;2008 referencia év;2009 referencia év;2010 referencia év;2011 referencia év;2012 referencia év;2013 referencia év;2014 referencia év;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év;2021 referencia év
Összesen;19,8;17,3;16,3;16,5;18,2;20,9;21,0;22,3;21,8;18,8;16,7;24,1;28,9;27,9;28,8;19,5
Férfi;20,5;17,9;16,3;16,9;18,9;21,6;23,1;22,8;21,7;18,8;17,9;25,5;31,1;29,2;31,4;20,6
Nõ;18,9;17,0;16,3;15,6;17,9;19,8;20,2;21,6;22,0;18,8;16,0;22,6;25,3;24,3;26,6;17,1
0–17 év;19,5;16,8;16,7;16,5;18,6;21,6;20,8;23,1;22,5;17,5;14,2;36,9;32,2;47,6;36,0;14,7
18–64 év;20,8;18,1;16,5;16,7;19,1;21,5;23,5;22,5;22,1;20,7;18,8;24,4;32,9;26,9;32,6;22,0
Férfi;20,9;17,9;16,5;17,3;19,7;22,1;24,8;23,3;22,1;21,3;19,2;26,5;34,1;26,8;33,6;22,8
Nõ;20,8;18,1;16,6;16,3;18,2;20,7;21,3;21,9;21,9;20,3;18,3;23,4;30,6;27,0;31,3;20,5
65+;13,3;10,2;12,7;11,0;10,2;11,6;11,2;11,6;15,3;14,3;14,7;12,6;9,6;9,0;8,7;12,2
Férfi;10,5;10,2;16,3;11,0;9,5;11,1;12,8;16,4;25,0;14,9;17,3;11,1;9,4;9,8;10,5;12,4
Nõ;14,5;10,2;11,6;11,0;11,1;12,0;10,8;10,4;12,2;14,3;13,7;13,1;9,7;8,5;7,6;12,1
