20.1.1.14. A 15–74 éves foglalkoztatottak távmunkavégzésének éves alakulása;;;;;;
Év;Az elmúlt 4 hétben távmunkát végzett rendszeresen, fõ;Az elmúlt 4 hétben távmunkát végzett alkalmanként, fõ;Az elmúlt 4 hétben nem végzett távmunkát, fõ;Együtt, fõ;Gyermekgondozási ellátás miatt munkától tartósan távol lévõk, fõ;Együtt, fõ
2009; 42 522    ; 52 353    ; 3 652 951    ; 3 747 826    ; 146 651    ; 3 894 477    
2010; 44 565    ; 59 423    ; 3 628 395    ; 3 732 384    ; 141 400    ; 3 873 784    
2011; 43 902    ; 55 443    ; 3 659 673    ; 3 759 018    ; 143 964    ; 3 902 983    
2012; 59 412    ; 73 305    ; 3 694 497    ; 3 827 214    ; 131 510    ; 3 958 724    
2013; 72 167    ; 82 236    ; 3 738 359    ; 3 892 761    ; 136 508    ; 4 029 269    
2014; 51 388    ; 84 561    ; 3 949 238    ; 4 100 839    ; 121 760    ; 4 222 599    
2015; 45 827    ; 79 040    ; 4 078 866    ; 4 210 497    ; 124 597    ; 4 335 093    
2016; 40 226    ; 61 542    ; 4 246 438    ; 4 351 637    ; 130 573    ; 4 482 210    
2017; 42 194    ; 70 199    ; 4 308 989    ; 4 421 382    ; 126 990    ; 4 548 373    
2018; 48 861    ; 86 979    ; 4 333 628    ; 4 469 468    ; 136 911    ; 4 606 379    
2019; 35 989    ; 54 374    ; 4 421 758    ; 4 512 121    ; 132 446    ; 4 644 567    
2020; 150 923    ; 234 145    ; 4 075 392    ; 4 460 459    ; 142 770    ; 4 603 229    
2021; 157 866    ; 261 139    ; 4 074 554    ; 4 493 559    ; 140 991    ; 4 634 550    
