21.1.1.60. A nemzetgazdaság integrált számlái, 2004 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;13 485 960;13 485 960;;;;;;;;;;;;;;;;13 485 960;;13 485 960
P.71;Termékek importja;11 584 840;11 584 840;;;;;;;;;;;;;;;;11 584 840;;11 584 840
P.72;Szolgáltatások importja;1 901 120;1 901 120;;;;;;;;;;;;;;;;1 901 120;;1 901 120
P.6;Termékek és szolgáltatások exportja;12 573 628;;12 573 628;;;;;;;;;;;;;;;;12 573 628;12 573 628
P.61;Termékek exportja;10 509 632;;10 509 632;;;;;;;;;;;;;;;;10 509 632;10 509 632
P.62;Szolgáltatások exportja;2 063 996;;2 063 996;;;;;;;;;;;;;;;;2 063 996;2 063 996
P.1;Kibocsátás;41 388 773;41 388 773;;;;;;;;;;29 418 753;1 254 803;4 662 208;5 627 147;425 862;41 388 773;;;41 388 773
P.11;Piaci kibocsátás;34 425 833;34 425 833;;;;;;;;;;29 044 492;1 249 547;49 039;4 082 755;;34 425 833;;;34 425 833
P.12;Saját végsõ felhasználási célú kibocsátás;2 000 595;2 000 595;;;;;;;;;;374 261;5 256;69 859;1 544 392;6 827;2 000 595;;;2 000 595
P.13;Nem piaci kibocsátás;4 962 345;4 962 345;;;;;;;;;;;;4 543 310;;419 035;4 962 345;;;4 962 345
P.2;Folyó termelõfelhasználás;23 317 534;;;23 317 534;222 039;1 995 010;1 340 657;609 707;19 150 121;;;;;;;;;;23 317 534;23 317 534
D.21–D.31;Termékadók és -támogatások egyenlege;3 038 820;3 038 820;;;;;;;;;3 038 820;;;;;;3 038 820;;;3 038 820
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";21 110 059;;;21 110 059;203 823;3 632 137;3 321 551;645 096;10 268 632;3 038 820;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;3 336 293;;;3 336 293;47 149;610 035;720 381;69 042;1 889 686;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";17 773 766;;;17 773 766;156 674;3 022 102;2 601 170;576 054;8 378 946;3 038 820;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;912 332;;912 332;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;3 038 820;10 268 632;645 096;3 321 551;3 632 137;203 823;21 110 059;;;21 110 059
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;3 038 820;8 378 946;576 054;2 601 170;3 022 102;156 674;17 773 766;;;17 773 766
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;912 332;;912 332
D.1;Munkavállalói jövedelem;9 587 323;;;9 587 323;156 974;458 130;2 614 667;338 431;6 019 121;;;;;;;;;;;
D.11;Bérek és keresetek;7 499 764;;;7 499 764;119 546;416 279;1 933 774;243 135;4 787 030;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;2 087 559;;;2 087 559;37 428;41 851;680 893;95 296;1 232 091;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;2 973 624;;;2 973 624;-300;-31 778;0;5 849;-38 967;3 038 820;;;;;;;;;;
D.21;Termékadók ;3 239 400;;;3 239 400;;;;;;3 239 400;;;;;;;;;;
D.29;Egyéb termelési adók;141 583;;;141 583;201;16 694;0;5 871;118 817;;;;;;;;;;;
