20.1.1.38. A nem alkalmazottak aránya a 15–64 éves foglalkoztatottakon belül [%];;;;;;;;;;;;;
Megnevezés;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
A nem alkalmazottak aránya a 15–64 éves foglalkoztatottakon belül;12,1;11,9;11,6;11,2;10,7;10,5;10,3;10,1;9,8;9,8;10,1;11,2;11,9
Nemek szerint;;;;;;;;;;;;;
férfi;15,3;15,0;14,9;14,0;13,4;13,3;12,8;12,4;11,6;11,8;12,4;13,5;14,1
nõ;8,7;8,5;8,1;8,3;7,8;7,4;7,5;7,7;7,7;7,4;7,5;8,6;9,3
Korcsoportok szerint, éves;;;;;;;;;;;;;
15–19;5,0;3,3;5,5;5,6;4,9;1,4;3,7;2,2;1,1;1,8;2,3;0,7;6,6
20–24;4,1;4,5;3,3;4,0;3,0;3,1;2,7;2,7;3,0;2,8;3,9;4,3;5,9
25–29;6,2;5,5;5,4;5,7;4,8;5,3;4,3;4,8;5,1;5,2;5,4;6,6;6,6
30–34;9,2;9,5;8,2;7,9;8,3;8,3;6,9;7,2;6,6;6,4;7,7;9,7;8,8
35–39;12,6;11,5;11,5;9,6;9,8;9,1;10,0;10,1;9,2;9,7;10,1;11,1;11,0
40–44;13,2;12,3;12,7;12,7;12,4;12,2;11,0;10,1;10,4;10,8;11,3;12,1;12,8
45–49;15,6;15,1;14,7;13,3;12,7;12,1;13,3;12,6;11,4;11,3;12,4;14,1;14,9
50–54;14,1;14,9;15,0;14,4;12,4;11,7;11,3;12,3;11,5;11,3;11,9;13,4;13,9
55–59;15,9;15,8;15,1;15,0;15,8;15,2;14,4;13,0;14,2;13,7;11,9;11,5;13,3
60–64;34,0;33,1;32,8;34,2;26,8;25,5;24,7;21,8;18,4;17,3;15,5;15,6;17,3
Régiók szerint;;;;;;;;;;;;;
Budapest;14,0;14,1;14,1;14,5;14,4;13,9;13,1;11,8;12,1;13,5;14,3;14,5;13,9
Pest;13,4;12,5;12,3;11,6;11,2;12,3;11,9;13,1;12,8;11,6;12,3;13,9;14,5
Közép-Magyarország;13,7;13,4;13,4;13,4;13,1;13,2;12,7;12,3;12,4;12,7;13,5;14,3;14,2
Közép-Dunántúl;9,3;10,4;9,7;8,8;8,6;9,1;9,1;8,1;7,5;7,3;8,3;9,8;10,6
Nyugat-Dunántúl;11,6;11,9;10,3;11,1;10,4;9,3;10,5;9,8;8,5;9,0;9,5;10,9;11,5
Dél-Dunántúl;11,2;11,5;12,3;10,8;9,6;9,3;9,1;8,4;9,3;9,4;8,1;10,1;11,0
Dunántúl;10,7;11,2;10,6;10,1;9,5;9,2;9,6;8,8;8,4;8,5;8,7;10,3;11,0
Észak-Magyarország;9,7;8,3;8,4;7,5;7,4;7,5;6,6;6,3;6,4;6,3;6,6;8,2;9,6
Észak-Alföld;11,4;11,0;10,8;10,6;10,1;8,5;8,7;8,7;8,1;7,8;8,1;8,9;9,7
Dél-Alföld;14,1;13,5;13,2;12,1;11,2;11,3;11,0;12,7;11,2;10,4;10,2;10,4;12,0
Alföld és Észak;11,9;11,1;11,0;10,3;9,7;9,2;8,9;9,3;8,6;8,2;8,4;9,2;10,4
