13.2.2.4. A megyei székhelyû ipar összes értékesítésének értéke és volumenindexe negyedévente;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. I.;2021. I–II.;2021. I–III.;2021. I–IV.;2022. I.;2022. I–II.;2022. I–III.;2022. I–IV.
Összes értékesítés, millió Ft;;;;;;;;;
Budapest;fõváros, régió;2 331 775;4 577 790;7 386 866;11 501 391;4 797 898;9 509 622;17 241 153;
Pest;megye, régió;851 708;1 735 217;2 611 290;3 629 318;1 080 718;2 318 186;3 770 324;
Közép-Magyarország;nagyrégió;3 183 483;6 313 007;9 998 156;15 130 709;5 878 616;11 827 807;21 011 477;
Fejér;megye;697 074;1 390 131;2 085 543;2 861 638;878 578;1 855 778;2 857 596;
Komárom-Esztergom;megye;714 599;1 374 352;2 010 298;2 656 372;758 469;1 647 775;2 666 430;
Veszprém;megye;376 908;728 181;1 050 026;1 452 316;454 789;916 925;1 416 361;
Közép-Dunántúl;régió;1 788 581;3 492 664;5 145 867;6 970 327;2 091 836;4 420 479;6 940 387;
Gyõr-Moson-Sopron;megye;1 203 428;2 423 948;3 380 247;4 518 624;1 191 128;2 596 091;4 026 850;
Vas;megye;259 012;519 820;763 980;1 021 090;300 665;641 006;970 927;
Zala;megye;60 487;122 564;182 783;251 587;63 377;135 467;211 636;
Nyugat-Dunántúl;régió;1 522 928;3 066 332;4 327 010;5 791 301;1 555 169;3 372 564;5 209 413;
Baranya;megye;107 106;217 121;335 910;457 727;130 519;278 945;461 449;
Somogy;megye;296 989;559 140;792 897;988 192;219 227;450 579;710 739;
Tolna;megye;113 928;229 446;341 423;455 022;122 764;255 410;393 103;
Dél-Dunántúl;régió;518 023;1 005 707;1 470 230;1 900 942;472 510;984 934;1 565 291;
Dunántúl;nagyrégió;3 829 532;7 564 703;10 943 107;14 662 570;4 119 515;8 777 977;13 715 092;
Borsod-Abaúj-Zemplén;megye;857 357;1 751 119;2 554 455;3 453 781;1 096 506;2 294 182;3 452 787;
Heves;megye;433 582;831 120;1 196 026;1 587 876;475 884;976 735;1 530 745;
Nógrád;megye;60 427;119 743;169 039;226 905;69 782;148 049;223 798;
Észak-Magyarország;régió;1 351 366;2 701 982;3 919 520;5 268 561;1 642 172;3 418 966;5 207 331;
Hajdú-Bihar;megye;230 161;456 473;667 201;917 915;278 867;570 194;878 465;
Jász-Nagykun-Szolnok;megye;476 813;933 991;1 390 454;2 026 555;640 774;1 179 300;1 716 841;
Szabolcs-Szatmár-Bereg;megye;192 960;390 998;617 213;866 244;251 015;516 737;825 526;
Észak-Alföld;régió;899 935;1 781 462;2 674 868;3 810 714;1 170 656;2 266 230;3 420 832;
Bács-Kiskun;megye;535 910;1 115 713;1 633 655;2 231 497;650 271;1 303 424;2 095 275;
Békés;megye;88 600;187 101;290 329;399 656;114 346;247 321;389 879;
Csongrád-Csanád;megye;152 043;298 146;450 593;619 846;175 037;367 915;575 706;
Dél-Alföld;régió;776 553;1 600 959;2 374 577;3 250 999;939 654;1 918 660;3 060 860;
Alföld és Észak;nagyrégió;3 027 854;6 084 403;8 968 965;12 330 274;3 752 482;7 603 856;11 689 023;
Ország összesen;ország;10 040 868;19 962 112;29 910 228;42 123 552;13 750 614;28 209 640;46 415 591;
Volumenindex, elõzõ év azonos idõszaka = 100,0%;;;;;;;;;
Budapest;fõváros, régió;104,1;110,1;115,4;116,8;121,7;121,0;121,3;
Pest;megye, régió;114,0;128,1;121,9;116,2;114,0;115,8;120,4;
Közép-Magyarország;nagyrégió;106,6;114,5;117,1;116,7;120,2;119,9;121,1;
Fejér;megye;100,1;113,4;105,4;102,4;102,3;104,3;105,3;
Komárom-Esztergom;megye;98,6;112,0;107,1;102,7;95,5;103,1;110,6;
Veszprém;megye;109,1;129,2;117,7;113,9;94,8;97,4;103,0;
Közép-Dunántúl;régió;101,3;115,8;108,4;104,7;98,1;102,3;106,8;
Gyõr-Moson-Sopron;megye;102,2;127,9;112,4;105,2;93,7;97,2;105,0;
Vas;megye;86,0;101,4;95,0;90,1;102,0;104,1;104,9;
Zala;megye;97,6;105,7;103,7;101,7;87,9;89,0;91,1;
Nyugat-Dunántúl;régió;98,8;121,5;108,5;102,0;95,0;98,1;104,3;
Baranya;megye;97,5;107,1;106,6;106,2;106,8;109,5;112,9;
