20.1.1.16. A 15–74 éves foglalkoztatottak távmunkavégzése munkaerõpiaci jellemzõik szerint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;2011 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2011 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2011 Együtt, fõ;2011 Összes foglalkoztatott, fõ;2012 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2012 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2012 Együtt, fõ;2012 Összes foglalkoztatott, fõ;2013 Az elmúlt 4 hétben távmunkát végzett rendszeresen, fõ;2013 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2013 Együtt, fõ;2013 Összes foglalkoztatott, fõ;2014 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2014 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2014 Együtt, fõ;2014 Összes foglalkoztatott, fõ;2015 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2015 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2015 Együtt, fõ;2015 Összes foglalkoztatott, fõ;2016 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2016 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2016 Együtt, fõ;2016 Összes foglalkoztatott, fõ;2017 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2017 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2017 Együtt, fõ;2017 Összes foglalkoztatott, fõ;2018 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2018 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2018 Együtt, fõ;2018 Összes foglalkoztatott, fõ;2019 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2019 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2019 Együtt, fõ;2019 Összes foglalkoztatott, fõ;2020 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2020 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2020 Együtt, fõ;2020 Összes foglalkoztatott, fõ;2021 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2021 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2021 Együtt, fõ;2021 Összes foglalkoztatott, fõ
Összesen;99 345 ;3 659 673 ;3 759 018 ;3 902 983 ;132 717 ;3 694 497 ;3 827 214 ;3 958 724 ;154 402 ;3 738 359 ;3 892 761 ;4 029 269 ;135 948 ;3 949 238 ;4 085 186 ;4 222 599 ;124 867 ;4 078 866 ;4 203 734 ;4 335 093 ;101 768 ;4 246 438 ;4 348 205 ;4 482 210 ;112 393 ;4 308 989 ;4 421 382 ;4 548 373 ;135 840 ;4 333 628 ;4 469 468 ;4 606 379 ;90 363 ;4 421 758 ;4 512 121 ;4 644 567 ;385 067 ;4 075 392 ;4 460 459 ;4 603 229 ;419 005 ;4 074 554;4 493 559;4 634 550
Foglalkozási viszony;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alkalmazott;71 749 ;3 230 772 ;3 302 520 ;3 433 057 ;96 740 ;3 281 380 ;3 378 120 ;3 497 622 ;114 979 ;3 338 841 ;3 453 820 ;3 577 675 ;104 411 ;3 531 996 ;3 636 407 ;3 748 584 ;95 928 ;3 651 073 ;3 747 000 ;3 862 880 ;76 799 ;3 804 122 ;3 880 921 ;4 001 690 ;80 875 ;3 883 556 ;3 964 431 ;4 083 288 ;93 380 ;3 910 523 ;4 003 904 ;4 132 682 ;61 846 ;3 961 707 ;4 023 554 ;4 145 065 ;318 346 ;3 604 883 ;3 923 229 ;4 056 614 ;337 714 ;3 584 433 ;3 922 147 ;4 057 742 
nem alkalmazott;27 596 ;428 902 ;456 498 ;464 619 ;35 977 ;413 117 ;449 093 ;456 550 ;39 423 ;399 518 ;438 941 ;447 145 ;31 537 ;417 242 ;448 779 ;455 632 ;28 940 ;427 794 ;456 734 ;462 262 ;24 969 ;442 315 ;467 284 ;473 561 ;31 518 ;425 434 ;456 951 ;462 773 ;42 459 ;423 105 ;465 564 ;470 365 ;28 516 ;460 051 ;488 567 ;494 325 ;66 721 ;470 509 ;537 230 ;542 655 ;81 291 ;490 121 ;571 412 ;576 808 
nem besorolt;–;–;–;5 307 ;–;–;–;4 552 ;–;–;–;4 449 ;–;–;–;18 384 ;–;–;–;9 951 ;–;–;–;6 959 ;–;–;–;2 312 ;–;–;–;3 331 ;–;–;–;5 177 ;–;–;–;3 960 ;–;–;–;–
Munkaszerzõdés ideje ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
határozatlan idejû;66 571 ;2 936 010 ;3 002 581 ;3 002 581 ;90 040 ;2 965 923 ;3 055 963 ;3 055 963 ;107 387 ;2 968 834 ;3 076 221 ;3 076 221 ;99 889 ;3 143 952 ;3 243 842 ;3 243 842 ;90 049 ;3 231 336 ;3 321 385 ;3 321 385 ;73 538 ;3 429 627 ;3 503 165 ;3 503 165 ;77 918 ;3 537 161 ;3 615 079 ;3 615 079 ;91 620 ;3 619 757 ;3 711 377 ;3 711 377 ;59 637 ;3 696 705 ;3 756 341 ;3 756 341 ;311 448 ;3 380 288 ;3 691 736 ;3 691 736 ;330 434 ;3 352 934 ;3 683 368 ;3 817 131 
határozott idejû;5 177 ;294 762 ;299 939 ;299 939 ;6 700 ;315 457 ;322 157 ;322 157 ;7 592 ;370 007 ;377 599 ;377 599 ;4 522 ;388 043 ;392 565 ;392 565 ;5 879 ;419 736 ;425 615 ;425 615 ;3 261 ;374 495 ;377 756 ;377 756 ;2 958 ;346 395 ;349 352 ;349 352 ;1 760 ;290 766 ;292 526 ;292 526 ;2 210 ;265 002 ;267 212 ;267 212 ;6 898 ;224 595 ;231 493 ;231 493 ;7 280 ;231 499 ;238 779 ;240 611 
nincs munkaszerzõdése (nem alkalmazott);27 596 ;428 902 ;456 498 ;600 462 ;35 977 ;413 117 ;449 093 ;580 603 ;39 423 ;399 518 ;438 941 ;575 449 ;31 537 ;417 242 ;448 779 ;586 192 ;28 940 ;427 794 ;456 734 ;588 093 ;24 969 ;442 315 ;467 284 ;601 289 ;31 518 ;425 434 ;456 951 ;583 941 ;42 459 ;423 105 ;465 564 ;602 475 ;28 516 ;460 051 ;488 567 ;621 013 ;66 721 ;470 509 ;537 230 ;680 000 ;81 291 ;490 121;571 412;576 808 
Rész- ill. teljes munkaidõs foglalkoztatás;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
