20.1.1.17. Foglalkoztatási ráta korcsoportok szerint, nemenként [%];;;;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl: 
 15–24 éves";"Ebbõl: 
 20–64 éves"
Együtt ;;;;;;;;;;;;;;;
2009;2,0;34,5;73,3;80,0;80,4;78,5;74,5;69,4;47,9;12,8;4,7;1,5;50,7;18,7;62,5
2010;2,0;34,5;71,2;79,0;79,5;78,3;75,6;69,2;51,1;12,6;4,9;1,5;50,6;18,8;62,2
2011;1,9;34,1;72,2;80,5;79,2;78,2;76,1;69,9;53,2;13,9;5,2;1,9;51,0;18,5;62,8
2012;1,8;34,3;72,2;80,4;80,1;80,6;78,1;72,9;55,1;13,8;5,3;1,7;51,8;18,8;63,8
2013;2,4;36,6;73,4;81,1;82,5;81,0;79,3;74,1;57,7;15,5;4,9;1,6;52,9;20,6;65,2
2014;3,5;41,3;77,3;83,7;84,8;84,5;83,0;77,4;63,2;19,4;4,3;1,8;55,8;24,0;68,7
2015;4,4;44,1;78,4;84,3;85,7;86,6;84,3;80,4;66,5;25,4;4,6;2,0;57,5;26,1;70,9
2016;5,1;48,4;80,4;86,5;87,0;88,1;85,8;82,3;70,0;32,2;5,3;2,6;59,7;28,7;73,7
2017;5,4;50,3;82,1;87,4;87,7;89,2;88,2;83,8;71,5;35,2;5,8;3,0;61,0;29,6;75,4
2018;5,9;50,9;82,1;87,8;88,3;89,5;88,8;85,5;74,0;38,2;6,9;3,8;62,0;30,0;76,7
2019;6,3;49,4;82,7;88,4;88,8;89,5;89,1;85,9;74,3;41,7;9,1;4,2;62,6;29,1;77,6
2020;5,0;49,3;81,3;85,5;86,8;88,2;87,8;86,5;75,2;45,6;9,9;4,4;62,1;28,0;77,5
2021;5,0;49,0;81,3;85,6;87,4;89,5;89,0;87,4;78,7;47,8;11,7;4,6;63,0;27,5;78,8
Férfi;;;;;;;;;;;;;;;
2009;2,4;36,7;75,8;85,5;84,3;80,7;75,4;70,6;56,1;16,7;6,9;2,5;55,1;20,0;66,5
2010;2,2;36,7;73,6;83,6;83,6;79,7;76,3;69,1;56,3;16,5;6,5;2,2;54,3;19,9;65,6
2011;2,4;36,1;75,8;85,6;84,4;79,7;77,7;71,2;56,9;17,4;7,3;2,7;55,1;19,7;66,5
2012;2,2;35,9;74,6;84,8;84,4;82,3;79,4;73,1;61,2;17,0;7,2;2,6;55,7;19,8;67,3
2013;2,8;40,8;76,4;84,4;86,4;83,5;80,6;74,2;65,0;21,1;6,4;2,9;57,4;23,0;69,3
2014;3,8;45,6;82,3;88,3;89,4;87,9;84,1;76,9;70,6;26,9;5,5;2,8;60,8;26,4;73,5
2015;5,9;46,6;83,3;88,4;90,6;90,2;85,7;80,5;73,9;35,3;5,7;3,2;62,7;28,1;75,8
2016;6,2;52,7;84,4;90,7;90,9;91,2;87,2;83,0;76,2;44,7;6,8;4,5;65,1;31,5;78,6
2017;6,4;55,6;86,8;91,8;92,3;92,5;89,3;86,6;77,5;49,6;8,0;4,0;66,9;32,9;81,0
2018;6,9;56,6;86,9;92,4;92,2;92,3;90,6;87,1;80,6;52,5;10,0;4,8;67,9;33,4;82,1
2019;8,2;54,7;85,8;93,1;93,1;92,8;90,1;89,4;80,6;58,6;12,3;6,0;68,8;32,8;83,1
2020;6,1;54,4;84,8;91,8;90,6;92,4;89,7;88,9;80,5;63,3;12,3;6,2;68,2;31,1;83,1
2021;6,3;54,3;85,2;91,0;92,0;92,9;91,2;89,6;83,2;65,1;14,7;6,7;69,0;30,9;84,1
Nõ;;;;;;;;;;;;;;;
2009;1,5;32,2;70,8;74,5;76,6;76,3;73,7;68,3;40,8;9,7;3,2;1,0;46,7;17,4;58,6
2010;1,9;32,3;68,8;74,4;75,3;76,9;74,9;69,4;46,6;9,5;3,6;1,1;47,1;17,6;59,0
2011;1,5;32,0;68,4;75,4;74,1;76,7;74,6;68,8;49,9;11,0;3,7;1,4;47,3;17,2;59,2
2012;1,5;32,7;69,7;76,0;75,8;79,0;76,9;72,7;49,7;11,2;3,8;1,1;48,2;17,8;60,4
2013;1,8;32,2;70,3;77,7;78,4;78,6;77,9;74,1;51,4;11,1;3,8;0,7;48,8;18,0;61,2
2014;3,1;36,9;72,1;78,9;80,2;81,0;81,9;77,9;56,8;13,4;3,3;1,1;51,1;21,4;64,1
2015;2,9;41,5;73,3;80,2;80,7;83,0;82,9;80,3;60,0;17,3;3,8;1,3;52,6;24,0;66,2
2016;4,0;43,9;76,3;82,3;83,2;85,0;84,4;81,6;64,7;21,9;4,1;1,4;54,7;25,7;68,9
2017;4,4;44,7;77,1;82,8;83,1;85,8;87,0;81,1;66,1;23,3;4,2;2,2;55,4;26,2;69,9
2018;4,8;45,0;77,1;83,0;84,4;86,6;87,1;84,0;68,2;26,4;4,6;3,1;56,4;26,3;71,4
2019;4,3;43,8;79,3;83,4;84,5;86,1;88,0;82,5;68,7;27,8;6,6;3,0;56,8;25,1;72,1
2020;3,8;43,9;77,6;78,9;82,8;84,0;85,9;84,2;70,4;31,0;8,1;3,1;56,3;24,6;71,9
2021;3,6;43,3;77,3;79,9;82,8;86,0;86,8;85,2;74,5;33,5;9,5;3,1;57,3;23,9;73,5
