21.1.1.22. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Helyi önkormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2 Termelési és importadók;1=2+26;55 906;95 953;128 155;165 566;222 209;248 695;298 986;332 805;382 086;442 623;475 937;531 142;584 894;643 184;644 382;607 244;626 514;642 767;639 612;662 900;732 523;765 315;803 303;879 147;959 503;886 090;921 424
D.21 Termékadók;2=3+4+13;48 572;80 682;109 233;143 252;193 955;213 172;258 123;288 103;321 911;367 251;391 239;440 900;477 917;527 500;523 844;477 083;487 041;481 751;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.211 Hozzáadottérték-adó típusú adók;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.212 Importadók és importvámok a hozzáadottérték-adók kivételével;4=5+6;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2121 Importvámok;5;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122 Importadók a hozzáadottérték-adók és az importvámok kivételével;6=7+..+12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122A Az importált mezõgazdasági termékek utáni importilletékek;7;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B Az importra kivetett monetáris kompenzációs összegek;8;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C Jövedéki adók;9;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122D Általános forgalmi adók;10;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E Meghatározott szolgáltatásokra kivetett adók;11;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F Importmonopóliumok nyeresége;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214 Termékadók a hozzáadottérték-adók és az importadók kivételével;13=14+..+25;48 572;80 682;109 233;143 252;193 955;213 172;258 123;288 103;321 911;367 251;391 239;440 900;477 917;527 500;523 844;477 083;487 041;481 751;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.214A Jövedéki adók és fogyasztási adók;14;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214B Bélyegilletékek;15;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C Pénzügyi és tõkemûveletekre kivetett adók;16;10 190;14 176;16 406;19 411;22 265;26 349;31 663;35 500;49 916;56 716;57 162;60 742;50 783;62 425;51 689;33 990;29 733;10 720;–;–;–;–;–;–;–;–;–
D.214D Gépjármû-nyilvántartási adók;17;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E Szórakoztatóipari tevékenységekre kivetett adók;18;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F Lottójátékra, szerencsejátékra és fogadásra kivetett adók;19;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G Biztosítási díjakra kivetett adók;20;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H Egyéb, meghatározott szolgáltatásokra kivetett adók;21;192;376;470;537;618;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I Általános forgalmi adók;22;38 190;66 130;92 357;123 304;171 072;186 823;226 460;252 603;271 995;310 535;334 077;380 158;427 134;465 075;472 155;443 093;457 308;471 031;500 868;523 125;584 380;608 982;638 731;711 276;788 308;729 000;754 982
D.214J Fiskális monopóliumok nyeresége;23;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K Exportvámok és az exportra kivetett monetáris kompenzációs összegek;24;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L Egyéb, máshová nem sorolt termékadók;25;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
