20.1.1.7. A foglalkoztatottak száma korcsoportok szerint, nemenként [ezer fõ];;;;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl: 
 15–24 éves";"Ebbõl: 
 20–64 éves"
Együtt ;;;;;;;;;;;;;;;
2009;11,5;214,7;501,1;617,1;610,6;539,4;493,0;451,4;347,9;77,2;24,1;6,4;3 894,5;226,3;3 852,5
2010;11,8;212,4;461,6;604,3;620,1;544,5;477,8;450,1;381,5;78,5;24,9;6,2;3 873,8;224,2;3 830,9
2011;11,2;207,3;443,4;610,8;635,2;551,0;459,6;453,8;407,1;88,9;26,9;7,9;3 903,0;218,4;3 857,0
2012;10,2;209,8;436,4;588,1;661,1;574,1;473,5;458,4;422,7;90,0;27,2;7,2;3 958,7;219,9;3 914,1
2013;12,6;223,7;440,7;560,4;694,7;579,9;499,4;449,6;432,6;103,0;26,0;6,7;4 029,3;236,3;3 983,9
2014;17,9;251,2;465,1;546,6;711,2;615,4;542,8;458,1;450,4;133,0;23,0;7,9;4 222,6;269,1;4 173,8
2015;22,1;264,4;472,3;527,0;692,4;659,0;570,8;468,8;443,6;179,9;25,6;9,1;4 335,1;286,5;4 278,3
2016;24,8;282,2;487,1;527,6;669,5;701,4;597,3;477,5;440,8;231,8;30,5;11,8;4 482,2;307,0;4 415,1
2017;26,0;283,6;498,7;522,9;638,6;732,2;622,0;495,2;428,4;252,8;34,6;13,4;4 548,4;309,6;4 474,4
2018;28,2;279,0;501,5;525,1;610,4;750,9;630,2;525,8;428,5;267,9;41,5;17,3;4 606,4;307,2;4 519,4
2019;30,0;263,5;506,7;534,8;585,5;751,1;646,8;550,7;421,6;277,8;56,3;19,8;4 644,6;293,5;4 538,4
2020;23,8;254,4;496,1;523,7;552,3;717,1;668,0;576,1;421,4;285,6;63,5;21,1;4 603,2;278,2;4 494,8
2021;23,9;246,4;483,3;524,4;541,6;692,2;705,7;597,5;438,5;282,1;76,2;22,9;4 634,6;270,3;4 511,5
Férfi;;;;;;;;;;;;;;;
2009;7,3;115,7;262,2;332,1;321,0;274,4;243,0;218,5;188,7;44,6;14,6;3,9;2 026,0;123,0;2 000,2
2010;6,4;114,7;241,0;321,5;327,8;275,3;235,9;213,8;194,6;45,5;14,1;3,4;1 993,9;121,1;1 970,0
2011;6,9;111,8;235,1;326,0;340,2;280,0;230,3;220,2;202,0;49,9;15,8;4,4;2 022,7;118,8;1 995,5
