23.1.1.1. Az oktatás fõbb, hosszú idõsoros adatai [ezer fõ];;;;;;;;;;;;;;;;;
Tanév;Óvodás gyermek;Alapfokú oktatásban részesülõ tanuló;Általános iskolai tanuló a nappali oktatásban;Szakmunkás-tanuló;Szakiskolai és készség-fejlesztõ iskolai tanuló;Középiskolában tanuló összesen;Középiskolában tanuló, ebbõl: nappali oktatásban;Felsõoktatásban hallgató összesen;Felsõoktatásban hallgató, ebbõl: nappali képzésben;A 8. évfolyamot sikeresen befejezte, összesen;A 8. évfolyamot sikeresen befejezte, ebbõl: nappali oktatásban;Szakmunkás-vizsgát tett;Szakmai vizsgát tett tanuló;Érettségi vizsgát tett tanuló összesen;Érettségi vizsgát tett tanuló, ebbõl: nappali oktatásban;Felsõfokú oklevelet szerzett hallgató összesen;Felsõfokú oklevelet szerzett hallgató, ebbõl: nappali képzésben
1960/1961;184;1 509;1 433;125;–;241;156;45;29;120;107;60;–;32;26;6;4
1961/1962;172;1 555;1 494;135;–;284;171;53;35;156;127;65;–;36;31;6;4
1962/1963;178;1 605;1 521;144;–;334;187;67;40;171;140;71;–;44;36;7;5
1963/1964;184;1 607;1 512;151;–;385;211;82;45;179;148;81;–;50;36;10;7
1964/1965;187;1 561;1 486;164;–;417;231;92;49;195;154;76;–;57;38;11;8
1965/1966;189;1 498;1 457;172;–;407;237;94;51;194;158;75;–;63;42;14;9
1966/1967;192;1 449;1 424;184;–;376;230;90;52;175;152;73;–;70;49;18;10
1967/1968;197;1 392;1 375;195;–;351;228;84;52;179;163;74;–;74;52;21;11
1968/1969;204;1 310;1 298;212;–;335;228;79;52;194;182;72;–;73;53;21;12
1969/1970;213;1 229;1 219;224;–;337;231;79;53;190;180;77;–;68;51;18;11
1970/1971;227;1 166;1 154;223;–;347;233;81;54;173;166;81;–;62;45;18;12
1971/1972;247;1 122;1 106;211;–;352;229;86;56;158;150;81;–;64;48;17;11
1972/1973;270;1 105;1 079;197;–;347;219;91;58;146;137;85;–;69;53;18;12
1973/1974;296;1 125;1 068;186;–;349;213;98;62;145;131;79;–;72;52;23;12
1974/1975;316;1 141;1 074;175;–;375;210;103;63;155;127;83;–;75;49;24;13
1975/1976;329;1 144;1 087;165;2;382;207;108;64;154;122;80;–;72;46;24;14
1976/1977;349;1 164;1 108;158;7;373;202;111;64;143;115;80;–;74;46;26;15
1977/1978;384;1 171;1 126;154;8;364;199;109;65;138;114;76;–;79;47;26;15
1978/1979;422;1 180;1 144;153;8;352;198;106;65;135;116;73;3;80;46;28;15
1979/1980;457;1 192;1 165;153;8;342;199;103;64;132;117;72;2;78;46;27;15
1980/1981;478;1 221;1 200;154;9;334;203;101;64;130;120;67;3;72;43;27;15
1981/1982;477;1 272;1 252;157;9;327;209;103;63;133;126;64;3;68;42;25;15
1982/1983;466;1 301;1 284;169;9;319;218;101;63;143;137;60;3;68;44;25;15
1983/1984;455;1 326;1 310;175;9;317;225;100;63;141;135;59;3;68;45;26;14
1984/1985;441;1 343;1 327;178;10;319;232;100;63;140;135;60;3;66;46;25;15
1985/1986;425;1 355;1 340;176;10;321;236;99;64;136;131;58;3;68;49;25;14
1986/1987;407;1 353;1 342;175;10;319;237;99;65;136;131;60;3;68;52;25;14
1987/1988;399;1 332;1 318;177;12;322;240;99;67;139;134;60;3;69;53;24;14
1988/1989;395;1 297;1 282;187;13;329;248;99;72;154;150;59;3;70;54;24;15
1989/1990;393;1 235;1 221;202;15;349;274;101;72;175;171;58;3;69;53;25;16
1990/1991;392;1 178;1 167;209;16;360;292;102;77;173;169;58;3;68;53;24;16
1991/1992;395;1 128;1 116;205;21;376;309;107;83;167;163;61;6;69;54;24;16
1992/1993;395;1 090;1 079;189;28;393;323;117;92;159;155;68;7;71;60;22;16
1993/1994;398;1 053;1 044;174;30;407;331;134;104;152;148;66;7;81;69;24;16
1994/1995;397;1 027;1 020;163;28;419;337;155;116;144;141;62;10;80;69;25;18
1995/1996;401;1 016;1 011;154;24;425;349;180;130;128;126;56;11;84;70;26;20
1996/1997;396;1 007;1 003;144;20;436;361;199;142;126;124;53;12;88;73;31;22
1997/1998;385;1 004;1 001;133;17;447;369;234;153;122;120;42;15;90;76;37;24
1998/1999;376;1 006;1 003;120;13;461;377;258;163;118;117;39;15;92;78;39;25
1999/2000;367;1 003;1 000;110;12;475;387;279;172;118;117;36;14;90;74;42;27
2000/2001;353;961;958;–;127;510;418;327;184;122;121;–;..;89;72;47;30
2001/2002;342;947;944;–;133;516;421;349;193;119;118;–;57;89;70;47;30
2002/2003;332;933;930;–;134;519;426;382;203;119;118;–;64;90;70;51;31
2003/2004;328;913;910;–;135;531;438;409;216;117;116;–;61;89;72;53;32
2004/2005;326;891;888;–;135;529;439;422;226;118;117;–;65;93;77;54;32
2005/2206;327;862;859;–;135;531;441;424;231;120;120;–;63;89;77;57;33
2006/2007;328;831;829;–;134;534;443;416;239;119;118;–;60;91;77;53;30
2007/2008;324;811;809;–;139;525;442;398;243;113;112;–;55;91;78;51;29
2008/2009;326;791;789;–;139;514;440;381;243;110;110;–;55;81;68;49;29
2009/2010;329;776;774;–;145;513;443;370;243;106;106;–;51;90;78;53;36
2010/2011;338;759;757;–;147;515;439;361;241;107;107;–;53;87;78;53;38
2011/2012;341;750;748;–;150;502;428;360;242;100;100;–;56;86;76;50;35
2012/2013;340;745;743;–;139;487;414;338;234;95;95;–;65;83;74;51;36
