20.1.1.23. A munkanélküliek száma az elõzõ foglalkozásuk jellege szerint, nemenként [ezer fõ];;;;;;;;
Év;8 éven belüli munkatapasztalattal rendelkezõ alkalmazottak összesen;8 éven belüli munkatapasztalattal rendelkezõ nem alkalmazottak összesen;8 éven belüli munkatapasztalattal rendelkezõ nem alkalmazottak, ebbõl: társas vállalkozás tagja;8 éven belüli munkatapasztalattal rendelkezõ nem alkalmazottak, ebbõl: egyéni vállalkozó, önálló;8 éven belüli munkatapasztalattal rendelkezõ összesen;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
Együtt ;;;;;;;;
2009;321,9;12,7;1,6;10,7;334,6;31,1;51,7;417,4
2010;357,2;20,7;3,7;16,6;377,9;33,6;57,5;469,1
2011;353,9;17,4;2,3;14,1;371,3;36,7;57,4;465,4
2012;357,2;14,5;2,5;10,6;371,7;31,5;69,6;472,8
2013;315,3;16,9;5,1;11,2;332,2;34,1;73,9;440,2
2014;238,8;15,1;4,0;10,3;253,9;27,9;61,0;342,9
2015;221,1;9,4;1,4;7,4;230,6;27,1;50,0;307,7
2016;169,2;6,9;1,6;5,1;176,0;21,2;37,2;234,5
2017;136,7;7,8;1,7;5,8;144,5;15,6;31,4;191,6
2018;126,5;5,2;0,7;4,0;131,7;12,6;27,6;171,8
2019;118,4;1,7;0,6;1,0;120,2;9,7;29,1;158,9
2020;154,8;5,1;1,4;3,1;159,9;8,7;29,0;197,6
2021;150,1;6,0;1,1;4,6;156,2;7,2;32,3;195,7
Férfi;;;;;;;;
2009;183,0;7,4;0,8;6,4;190,4;14,2;27,3;231,8
2010;206,3;11,1;1,6;9,4;217,4;13,4;30,9;261,7
2011;197,7;9,9;1,0;8,5;207,6;14,0;29,8;251,5
2012;202,3;9,7;2,0;6,7;211,9;12,2;37,9;262,1
2013;175,5;10,2;3,7;6,3;185,8;14,2;39,3;239,3
2014;130,4;8,2;1,9;6,0;138,6;11,5;31,7;181,7
2015;118,7;5,6;1,0;4,4;124,2;11,4;26,3;161,9
2016;95,5;4,2;0,9;3,2;99,7;9,8;18,0;127,5
2017;71,1;4,5;1,1;3,4;75,6;6,3;13,9;95,7
2018;65,7;2,6;0,6;2,0;68,3;5,3;14,5;88,1
2019;64,1;0,5;0,3;0,2;64,6;5,0;16,5;86,1
2020;84,2;3,1;0,6;2,1;87,3;3,8;13,1;104,2
2021;77,6;3,5;0,6;2,7;81,1;2,6;16,1;99,9
Nõ;;;;;;;;
2009;139,0;5,3;0,7;4,3;144,3;16,9;24,5;185,6
2010;150,8;9,7;2,1;7,2;160,5;20,2;26,7;207,4
2011;156,2;7,5;1,3;5,7;163,7;22,7;27,6;214,0
2012;155,0;4,8;0,5;4,0;159,8;19,3;31,7;210,7
2013;139,8;6,7;1,4;4,9;146,5;19,9;34,6;201,0
2014;108,4;6,9;2,0;4,3;115,3;16,5;29,3;161,1
2015;102,5;3,9;0,5;3,0;106,3;15,7;23,8;145,7
2016;73,7;2,7;0,7;1,9;76,4;11,4;19,2;107,0
2017;65,7;3,3;0,6;2,5;69,0;9,4;17,5;95,8
2018;60,8;2,6;0,1;2,0;63,4;7,2;13,1;83,7
2019;54,4;1,2;0,2;0,9;55,6;4,6;12,6;72,8
2020;70,6;2,0;0,8;1,0;72,6;4,9;15,9;93,4
2021;72,5;2,5;0,5;1,9;75,0;4,6;16,2;95,8
